UID,Name,DoB,Nat,Division,Club,Preferred Foot,Position,Height,Weight,Age,Transfer Value,Wage,Style,Best Role
76043783,Cucho Hernández,20/4/1999 (23 years old),COL,Major League Soccer,Columbus,Right,"AM (RLC), ST (C)",175 cm,74 kg,23,€16M - €20M,"€242,000 p/m",Physical,Inside Forward
78021834,Gastón Brugman,7/9/1992 (29 years old),URU,Major League Soccer,LA Galaxy,Right,"DM, M (C)",178 cm,75 kg,29,€95K - €6.6M,"€118,000 p/m",Leader,Defensive Midfielder
7987827,Domenico Criscito,30/12/1986 (35 years old),ITA,Major League Soccer,Toronto FC,Left,"D (LC), WB (L)",183 cm,75 kg,35,Not for Sale,"€127,000 p/m",Leader,Full-Back
28037201,Ravel Morrison,2/2/1993 (29 years old),JAM,Major League Soccer,D.C. United,Right,"M (C), AM (LC)",175 cm,71 kg,29,€800K - €1.7M,"€77,000 p/m",Creative,Inverted Winger
29003721,Kieran Gibbs,26/9/1989 (32 years old),ENG,Major League Soccer,Inter Miami,Left,D/WB (L),178 cm,66 kg,32,€550K - €1.5M,"€32,000 p/m",Technical,Full-Back
860472,Eloy Room,2/6/1989 (33 years old),CUW,Major League Soccer,Columbus,Right Only,GK,191 cm,82 kg,33,Not for Sale,"€74,000 p/m",Distributor,Sweeper Keeper
67224237,Shaq Moore,2/11/1996 (25 years old),USA,Major League Soccer,Nashville,Right,D/WB/M (R),181 cm,74 kg,25,€4.8M - €8.8M,"€65,500 p/m",Leader,Full-Back
36055197,Taxi Fountas,4/9/1995 (26 years old),GRE,Major League Soccer,D.C. United,Right,"M (R), AM (RC), ST (C)",171 cm,65 kg,26,€4.6M - €8.6M,"€138,000 p/m",Physical,Winger
67103542,Carles Gil,22/11/1992 (29 years old),ESP,Major League Soccer,New England,Left,"M (L), AM (RLC), ST (C)",171 cm,66 kg,29,€5M - €7.6M,"€298,000 p/m",Creative,Inverted Winger
14046847,Lucas Zelarayán,20/6/1992 (30 years old),ARM,Major League Soccer,Columbus,Right,AM (C),173 cm,70 kg,30,€5.8M - €7.2M,"€311,000 p/m",Technical,Advanced Playmaker
67258407,Riqui Puig,13/8/1999 (22 years old),ESP,Major League Soccer,LA Galaxy,Right,M/AM (C),169 cm,56 kg,22,€6.4M - €8M,"€142,000 p/m",Creative,Enganche
77004608,Pedro Gallese,23/2/1990 (32 years old),PER,Major League Soccer,Orlando City,Left,GK,189 cm,79 kg,32,€300K - €2.9M,"€43,500 p/m",Shot Stopper,Sweeper Keeper
14111499,Emanuel Reynoso,16/11/1995 (26 years old),ARG,Major League Soccer,Minnesota,Left Only,"M (LC), AM (C)",176 cm,65 kg,26,€5.6M - €7M,"€89,500 p/m",Creative,Attacking Midfielder
67140148,Alejandro Pozuelo,20/9/1991 (30 years old),ESP,Major League Soccer,Inter Miami,Either,M/AM (C),171 cm,64 kg,30,€500K - €4.9M,"€394,000 p/m",Technical,Advanced Playmaker
14172522,Thiago Almada,26/4/2001 (21 years old),ARG,Major League Soccer,Atlanta United,Right,AM (RLC),171 cm,64 kg,21,€18M - €27M,"€196,000 p/m",Creative,Inverted Winger
72038776,DeAndre Yedlin,9/7/1993 (28 years old),USA,Major League Soccer,Inter Miami,Right Only,D/WB (R),173 cm,73 kg,28,€12K - €6.4M,"€71,500 p/m",Physical,Wing-Back
662994,Damir Kreilach,16/4/1989 (33 years old),CRO,Major League Soccer,Real Salt Lake,Right,"DM, M/AM (C), ST (C)",186 cm,79 kg,33,€100K - €1M,"€130,000 p/m",Leader,Target Forward
65002338,Jonathan Mensah,13/7/1990 (31 years old),GHA,Major League Soccer,Columbus,Right,D (C),188 cm,84 kg,31,€240K - €2.4M,"€96,000 p/m",Leader,Central Defender
1508008,Víctor Vázquez,20/1/1987 (35 years old),ESP,Major League Soccer,LA Galaxy,Right,M/AM (C),181 cm,79 kg,35,€12K - €130K,"€37,000 p/m",Creative,Advanced Playmaker
28059811,Albert Rusnák,7/7/1994 (27 years old),SVK,Major League Soccer,Seattle,Right,AM (LC),176 cm,74 kg,27,€3.5M,"€157,000 p/m",Creative,Inverted Winger
77017791,Miguel Trauco,25/8/1992 (29 years old),PER,Major League Soccer,San Jose,Left,D/WB (L),175 cm,62 kg,29,€350K - €3.4M,"€12,500 p/m",Technical,Complete Wing-Back
67046417,Cristian Tello,11/8/1991 (30 years old),ESP,Major League Soccer,LAFC,Either,M/AM (RL),178 cm,72 kg,30,€1.7M - €3.6M,"€135,000 p/m",Physical,Inverted Winger
14027034,Gastón Giménez,27/7/1991 (30 years old),PAR,Major League Soccer,Chicago,Left,"DM, M (C)",188 cm,88 kg,30,€475K - €8.8M,"€111,000 p/m",Technical,Deep Lying Playmaker
14046838,Emiliano Rigoni,4/2/1993 (29 years old),ARG,Major League Soccer,Austin FC,Either,"AM (RLC), ST (C)",180 cm,73 kg,29,€7.8M - €11.5M,"€193,000 p/m",Technical,Inverted Winger
980785,Brad Guzan,9/9/1984 (37 years old),USA,Major League Soccer,Atlanta United,Left,GK,194 cm,94 kg,37,€100K - €300K,"€38,500 p/m",Assertive,Goalkeeper
83111345,Nuno Santos,2/3/1999 (23 years old),POR,Major League Soccer,Charlotte FC,Right,"M (C), AM (RLC), ST (C)",177 cm,69 kg,23,€6.8M - €8M,"€47,000 p/m",Creative,Inverted Winger
78100972,César Araújo,2/4/2001 (21 years old),URU,Major League Soccer,Orlando City,Right,"DM, M (C)",178 cm,69 kg,21,€475K - €8.4M,"€22,000 p/m",Leader,Deep Lying Playmaker
63010485,Ján Gregus,29/1/1991 (31 years old),SVK,Major League Soccer,San Jose,Right,"DM, M (C)",191 cm,83 kg,31,€475K - €1.4M,"€55,000 p/m",Leader,Ball Winning Midfielder
72040390,Matt Miazga,19/7/1995 (26 years old),USA,Major League Soccer,Cincinnati,Right,D (C),191 cm,84 kg,26,€7.8M - €11.5M,"€123,000 p/m",Technical,Central Defender
14031418,Luciano Acosta,31/5/1994 (28 years old),ARG,Major League Soccer,Cincinnati,Right,AM (C),161 cm,59 kg,28,€9.4M - €14M,"€187,000 p/m",Creative,False Nine
72040331,Jonathan Osorio,12/6/1992 (30 years old),CAN,Major League Soccer,Toronto FC,Right,M/AM (RLC),176 cm,73 kg,30,€750K - €4.9M,"€86,000 p/m",Leader,Inverted Winger
78016332,Mauricio Pereyra,15/3/1990 (32 years old),URU,Major League Soccer,Orlando City,Right,"M (C), AM (RC)",173 cm,68 kg,32,€275K - €2.8M,"€113,000 p/m",Creative,Advanced Playmaker
961300,Maximiliano Moralez,27/2/1987 (35 years old),ARG,Major League Soccer,NYCFC,Right,AM (RLC),161 cm,55 kg,35,€50K - €500K,"€65,500 p/m",Creative,Inverted Winger
81002616,Andre Blake,21/11/1990 (31 years old),JAM,Major League Soccer,Philadelphia,Right,GK,188 cm,80 kg,31,Not for Sale,"€73,000 p/m",Shot Stopper,Goalkeeper
13148160,Teenage Hadebe,17/9/1995 (26 years old),ZIM,Major League Soccer,Houston,Left Only,D (C),181 cm,74 kg,26,€40K - €4.8M,"€99,000 p/m",Physical,Central Defender
16047316,Alessandro Schöpf,7/2/1994 (28 years old),AUT,Major League Soccer,Vancouver,Right,"WB (R), M/AM (RC)",178 cm,74 kg,28,€1.3M - €11.5M,"€75,000 p/m",Technical,Defensive Winger
96092561,Karol Świderski,23/1/1997 (25 years old),POL,Major League Soccer,Charlotte FC,Either,ST (C),184 cm,78 kg,25,€9.2M - €11M,"€190,000 p/m",Intelligent,Advanced Forward
38041412,Dániel Sallói,19/7/1996 (25 years old),HUN,Major League Soccer,Sporting KC,Right,"AM (RL), ST (C)",186 cm,73 kg,25,€375K - €8M,"€42,500 p/m",Leader,Inverted Winger
80006923,Bryan Oviedo,18/2/1990 (32 years old),CRC,Major League Soccer,Real Salt Lake,Left,D/WB/M (L),172 cm,70 kg,32,€16K - €150K,"€35,000 p/m",Technical,Complete Wing-Back
72048183,Jesus Ferreira,24/12/2000 (21 years old),USA,Major League Soccer,FC Dallas,Right,"AM (RLC), ST (C)",176 cm,69 kg,21,€5.8M - €7.2M,"€126,000 p/m",Creative,Inverted Winger
8444104,Larrys Mabiala,8/10/1987 (34 years old),COD,Major League Soccer,Portland,Right,D (C),188 cm,84 kg,34,€45K - €450K,"€38,000 p/m",Leader,Central Defender
42094832,William Agada,17/9/1999 (22 years old),NGA,Major League Soccer,Sporting KC,Either,"AM (L), ST (C)",184 cm,80 kg,22,€300K - €3.1M,"€20,500 p/m",Physical,Pressing Forward
19124348,Héber,10/8/1991 (30 years old),BRA,Major League Soccer,NYCFC,Right,"M/AM (L), ST (C)",181 cm,78 kg,30,€4.6M - €7M,"€66,500 p/m",Technical,Inverted Winger
77012995,Alexander Callens,4/5/1992 (30 years old),PER,Major League Soccer,NYCFC,Left Only,D (LC),186 cm,82 kg,30,€200K - €2M,"€64,000 p/m",Physical,No-Nonsense Full-Back
91137292,Erik Thommy,20/8/1994 (27 years old),GER,Major League Soccer,Sporting KC,Right,"M (L), AM (RLC)",175 cm,71 kg,27,€190K - €7M,"€110,000 p/m",Creative,Inverted Winger
75018971,Martín Rodríguez,5/8/1994 (27 years old),CHI,Major League Soccer,D.C. United,Right,"M (L), AM (RLC)",171 cm,68 kg,27,€300K - €3M,"€50,000 p/m",Creative,Inverted Winger
863702,Kelvin Leerdam,24/6/1990 (32 years old),SUR,Major League Soccer,LA Galaxy,Right,"D/WB (R), DM, M (C)",178 cm,79 kg,32,€110K - €1.1M,"€28,000 p/m",Physical,Wing-Back
51041098,Paul Arriola,5/2/1995 (27 years old),USA,Major League Soccer,FC Dallas,Right,M/AM (RL),168 cm,67 kg,27,€1.2M - €11.5M,"€95,000 p/m",Technical,Inverted Winger
92022817,Bobby Wood,15/11/1992 (29 years old),USA,Major League Soccer,Real Salt Lake,Right,ST (C),181 cm,79 kg,29,€2.1M - €4.2M,"€85,500 p/m",Physical,Advanced Forward
29075076,Joevin Jones,3/8/1991 (30 years old),TRI,Major League Soccer,Inter Miami,Left Only,D/WB/M/AM (L),181 cm,73 kg,30,€110K - €1.1M,"€38,500 p/m",Physical,Winger
81001828,Kemar Lawrence,17/9/1992 (29 years old),JAM,Major League Soccer,Minnesota,Left Only,D/WB (L),178 cm,73 kg,29,€210K - €6.8M,"€40,500 p/m",Physical,Wing-Back
76035677,Cristian Arango,9/3/1995 (27 years old),COL,Major League Soccer,LAFC,Right,"AM (C), ST (C)",178 cm,78 kg,27,€3.3M - €6.4M,"€57,500 p/m",Leader,Pressing Forward
67038644,Andreu Fontàs,14/11/1989 (32 years old),ESP,Major League Soccer,Sporting KC,Left Only,"D (C), DM",188 cm,91 kg,32,€130K - €1.3M,"€94,500 p/m",Technical,Ball Playing Defender
37002395,Nick Marsman,1/10/1990 (31 years old),NED,Major League Soccer,Inter Miami,Right Only,GK,188 cm,88 kg,31,Not for Sale,"€49,500 p/m",Distributor,Sweeper Keeper
85042905,Nicolas Isimat-Mirin,15/11/1991 (30 years old),FRA,Major League Soccer,Sporting KC,Right,D (C),187 cm,82 kg,30,€1.1M - €2.3M,"€86,500 p/m",Physical,Central Defender
72041431,Aaron Long,12/10/1992 (29 years old),USA,Major League Soccer,New York,Right,D (C),186 cm,87 kg,29,€230K - €2.3M,"€90,500 p/m",Physical,Central Defender
37056755,Nigel Robertha,13/2/1998 (24 years old),CUW,Major League Soccer,D.C. United,Right,ST (C),182 cm,77 kg,24,€2.4M,"€52,500 p/m",Physical,Advanced Forward
24021175,Dario Zuparic,3/5/1992 (30 years old),CRO,Major League Soccer,Portland,Right Only,D (C),188 cm,84 kg,30,€80K - €800K,"€64,500 p/m",Physical,Wide Centre-Back
14068839,Yeimar Gómez Andrade,30/6/1992 (29 years old),COL,Major League Soccer,Seattle,Right Only,D (C),188 cm,91 kg,29,€160K - €1.6M,"€60,500 p/m",Leader,No-Nonsense Centre-Back
72044167,Cristian Roldan,3/6/1995 (27 years old),USA,Major League Soccer,Seattle,Right,M/AM (RC),173 cm,75 kg,27,€4.7M - €6M,"€82,500 p/m",Leader,Mezzala
72049175,Djordje Mihailović,10/11/1998 (23 years old),USA,Major League Soccer,CF Montréal,Right,M/AM (C),178 cm,70 kg,23,€5.8M - €7.2M,"€63,000 p/m",Technical,Mezzala
86060139,José Cifuentes,12/3/1999 (23 years old),ECU,Major League Soccer,LAFC,Right,"DM, M (C)",175 cm,72 kg,23,€5.6M - €6.8M,"€34,500 p/m",Physical,Mezzala
78088631,Santiago Rodríguez,8/1/2000 (22 years old),URU,Major League Soccer,NYCFC,Right,AM (C),172 cm,62 kg,22,€180K - €1.8M,"€15,000 p/m",Creative,Enganche
19189285,Jean Mota,15/10/1993 (28 years old),BRA,Major League Soccer,Inter Miami,Left,"D/WB (L), DM, M/AM (LC)",172 cm,75 kg,28,€5.6M - €10M,"€67,500 p/m",Technical,Winger
92025867,Rafael Czichos,14/5/1990 (32 years old),GER,Major League Soccer,Chicago,Left,"D (LC), WB (L)",186 cm,93 kg,32,Not for Sale,"€112,000 p/m",Leader,Ball Playing Defender
38041617,Dániel Gazdag,2/3/1996 (26 years old),HUN,Major League Soccer,Philadelphia,Right,"M/AM (C), ST (C)",178 cm,76 kg,26,€2.5M - €5M,"€49,500 p/m",Creative,Attacking Midfielder
45033974,Yûya Kubo,24/12/1993 (28 years old),JPN,Major League Soccer,Cincinnati,Right,"DM, M/AM (C)",178 cm,73 kg,28,€475K,"€101,000 p/m",Leader,Mezzala
53010020,Ola Kamara,15/10/1989 (32 years old),NOR,Major League Soccer,D.C. United,Right,"AM (RLC), ST (C)",183 cm,83 kg,32,€110K - €1.1M,"€128,000 p/m",Physical,Pressing Forward
33028111,Robert Taylor,21/10/1994 (27 years old),FIN,Major League Soccer,Inter Miami,Right,M/AM (RL),182 cm,78 kg,27,€325K - €3.3M,"€23,500 p/m",Technical,Inverted Winger
14001292,Sebastián Blanco,15/3/1988 (34 years old),ARG,Major League Soccer,Portland,Right,"M (RC), AM (RLC)",168 cm,69 kg,34,Not for Sale,"€144,000 p/m",Leader,Inverted Winger
85100464,Samuel Piette,12/11/1994 (27 years old),CAN,Major League Soccer,CF Montréal,Right,"DM, M (C)",171 cm,78 kg,27,€500K - €7.4M,"€42,500 p/m",Leader,Ball Winning Midfielder
76014908,Yimmi Chará,2/4/1991 (31 years old),COL,Major League Soccer,Portland,Right,"AM (RL), ST (C)",165 cm,68 kg,31,€400K - €4M,"€152,000 p/m",Physical,Inverted Winger
86065934,Leonardo Campana,24/7/2000 (21 years old),ECU,Major League Soccer,Inter Miami,Left Only,ST (C),188 cm,82 kg,21,€11M - €16.5M,"€75,500 p/m",Physical,Target Forward
72046373,Jordan Morris,26/10/1994 (27 years old),USA,Major League Soccer,Seattle,Right,"AM (RL), ST (C)",183 cm,84 kg,27,€3.9M - €7.4M,"€115,000 p/m",Physical,Winger
93006080,Alejandro Bedoya,29/4/1987 (35 years old),USA,Major League Soccer,Philadelphia,Right,M (RC),181 cm,77 kg,35,€30K - €325K,"€93,500 p/m",Leader,Mezzala
14000747,Gustavo Bou,18/2/1990 (32 years old),ARG,Major League Soccer,New England,Right,"AM (C), ST (C)",178 cm,73 kg,32,Not for Sale,"€225,000 p/m",Technical,Advanced Forward
72021541,Sean Johnson,31/5/1989 (33 years old),USA,Major League Soccer,NYCFC,Right Only,GK,191 cm,99 kg,33,€1.5M - €3M,"€43,000 p/m",Shot Stopper,Sweeper Keeper
55067769,Nanu,17/5/1994 (28 years old),GNB,Major League Soccer,FC Dallas,Right,"D/WB/M (R), AM (RL)",177 cm,69 kg,28,€800K - €1.7M,"€26,000 p/m",Physical,Inverted Winger
85003588,Maxime Chanot,21/11/1989 (32 years old),LUX,Major League Soccer,NYCFC,Right,D (RC),186 cm,79 kg,32,€150K - €1.5M,"€66,000 p/m",Leader,Ball Playing Defender
37005644,Johan Kappelhof,5/8/1990 (31 years old),NED,Major League Soccer,Real Salt Lake,Right,D (RC),181 cm,70 kg,31,€130K - €1.3M,"€24,000 p/m",Physical,Wing-Back
27010766,Victor Pálsson,30/4/1991 (31 years old),ISL,Major League Soccer,D.C. United,Right,"DM, M (C)",186 cm,82 kg,31,€275K - €2.7M,"€72,500 p/m",Leader,Ball Winning Midfielder
91005031,Alexander Ring,9/4/1991 (31 years old),FIN,Major League Soccer,Austin FC,Right,"DM, M (C)",176 cm,74 kg,31,€2.3M,"€138,000 p/m",Leader,Ball Winning Midfielder
51012676,Alan Pulido,8/3/1991 (31 years old),MEX,Major League Soccer,Sporting KC,Right,"AM (C), ST (C)",178 cm,69 kg,31,Not for Sale,"€185,000 p/m",Intelligent,Advanced Forward
85078875,Rudy Camacho,5/3/1991 (31 years old),FRA,Major League Soccer,CF Montréal,Right,D (C),186 cm,79 kg,31,€45K - €475K,"€46,500 p/m",Leader,No-Nonsense Centre-Back
37061970,Maarten Paes,14/5/1998 (24 years old),NED,Major League Soccer,FC Dallas,Right,GK,191 cm,82 kg,24,€200K - €7M,"€15,750 p/m",Shot Stopper,Sweeper Keeper
19215572,Luiz Araújo,2/6/1996 (26 years old),BRA,Major League Soccer,Atlanta United,Left,AM (RL),176 cm,70 kg,26,€10M - €15M,"€331,000 p/m",Creative,Inverted Winger
15023766,Miloš Degenek,28/4/1994 (28 years old),AUS,Major League Soccer,Columbus,Right,D (RLC),187 cm,81 kg,28,€22K - €5.4M,"€68,000 p/m",Leader,No-Nonsense Full-Back
87015304,Romell Quioto,9/8/1991 (30 years old),HON,Major League Soccer,CF Montréal,Right,"AM (RL), ST (C)",181 cm,78 kg,30,€475K - €7.4M,"€60,000 p/m",Physical,Winger
91018517,Alfredo Morales,12/5/1990 (32 years old),USA,Major League Soccer,NYCFC,Right,"DM, M (RC)",183 cm,77 kg,32,€1.2M,"€55,500 p/m",Leader,Ball Winning Midfielder
72037051,Kellyn Acosta,24/7/1995 (26 years old),USA,Major League Soccer,LAFC,Either,"DM, M (C)",178 cm,69 kg,26,€1M - €5.4M,"€102,000 p/m",Physical,Box To Box Midfielder
61006880,Johnny Russell,8/4/1990 (32 years old),SCO,Major League Soccer,Sporting KC,Left Only,AM (RL),176 cm,80 kg,32,Not for Sale,"€168,000 p/m",Leader,Inverted Winger
62015683,Boris Sekulić,21/10/1991 (30 years old),SVK,Major League Soccer,Chicago,Either,"D (RLC), WB (RL)",188 cm,83 kg,30,€50K - €500K,"€56,000 p/m",Physical,No-Nonsense Full-Back
80033143,Allan Cruz,24/2/1996 (26 years old),CRC,Major League Soccer,Cincinnati,Right,"DM, M (RLC)",171 cm,71 kg,26,€20K - €190K,"€105,000 p/m",Physical,Inverted Winger
72014270,Graham Zusi,8/8/1986 (35 years old),USA,Major League Soccer,Sporting KC,Right,D/WB/M/AM (R),178 cm,71 kg,35,€0 - €110K,"€38,000 p/m",Technical,Complete Wing-Back
80026190,Rónald Matarrita,9/7/1994 (27 years old),CRC,Major League Soccer,Cincinnati,Left,D/WB/M/AM (L),176 cm,70 kg,27,€300K - €3M,"€68,000 p/m",Technical,Winger
14060325,Cristian Espinoza,3/4/1995 (27 years old),ARG,Major League Soccer,San Jose,Right,AM (RL),176 cm,74 kg,27,€5.8M - €10.5M,"€106,000 p/m",Physical,Winger
14077429,Andrés Cubas,22/5/1996 (26 years old),PAR,Major League Soccer,Vancouver,Right,"DM, M (C)",169 cm,60 kg,26,€2M,"€75,500 p/m",Intelligent,Ball Winning Midfielder
61042729,Ryan Gauld,16/12/1995 (26 years old),SCO,Major League Soccer,Vancouver,Left Only,"M (C), AM (LC)",169 cm,61 kg,26,€7M - €8.4M,"€190,000 p/m",Technical,Winger
81015053,Alvas Powell,18/7/1994 (27 years old),JAM,Major League Soccer,Cincinnati,Right,D (R),183 cm,84 kg,27,€550K - €1.6M,"€14,000 p/m",Physical,Full-Back
72041405,Damion Lowe,5/5/1993 (29 years old),JAM,Major League Soccer,Inter Miami,Right,D (C),191 cm,79 kg,29,€2.5M - €5M,"€22,500 p/m",Leader,No-Nonsense Centre-Back
20501493,Mark-Anthony Kaye,2/12/1994 (27 years old),CAN,Major League Soccer,Toronto FC,Left,"D (L), DM, M (LC)",186 cm,73 kg,27,€6.8M - €8.2M,"€59,000 p/m",Technical,Winger
86050955,Xavier Arreaga,28/9/1994 (27 years old),ECU,Major League Soccer,Seattle,Right,"D (C), DM",183 cm,75 kg,27,€200K - €2M,"€59,000 p/m",Physical,No-Nonsense Centre-Back
72006696,Roger Espinoza,25/10/1986 (35 years old),HON,Major League Soccer,Sporting KC,Left,"DM, M (C)",178 cm,84 kg,35,€16K - €160K,"€25,000 p/m",Leader,Ball Winning Midfielder
72049128,Jack Elliott,24/8/1995 (26 years old),ENG,Major League Soccer,Philadelphia,Right,D (C),199 cm,84 kg,26,€400K - €4M,"€66,500 p/m",Physical,Central Defender
72038783,Gyasi Zardes,2/9/1991 (30 years old),USA,Major League Soccer,Colorado,Right,"AM (RL), ST (C)",186 cm,85 kg,30,€160K - €1.6M,"€130,000 p/m",Physical,Pressing Forward
78087432,Guzmán Corujo,2/8/1996 (25 years old),URU,Major League Soccer,Charlotte FC,Right,D (C),188 cm,85 kg,25,€425K - €4.2M,"€53,000 p/m",Leader,No-Nonsense Centre-Back
53056995,Jakob Glesnes,25/3/1994 (28 years old),NOR,Major League Soccer,Philadelphia,Right,D (C),188 cm,84 kg,28,€275K - €2.7M,"€62,000 p/m",Leader,Central Defender
78094472,Nicolás Acevedo,14/4/1999 (23 years old),URU,Major League Soccer,NYCFC,Right,"DM, M (C)",173 cm,73 kg,23,€325K - €7.8M,"€12,750 p/m",Physical,Ball Winning Midfielder
72023345,Darlington Nagbe,19/7/1990 (31 years old),USA,Major League Soccer,Columbus,Right Only,"DM, M (C)",176 cm,78 kg,31,Not for Sale,"€148,000 p/m",Creative,Mezzala
79024208,Luis Amarilla,25/8/1995 (26 years old),PAR,Major League Soccer,Minnesota,Right,ST (C),182 cm,74 kg,26,€1M - €9.4M,"€66,000 p/m",Physical,Advanced Forward
86067902,Diego Palacios,12/7/1999 (22 years old),ECU,Major League Soccer,LAFC,Left,D/WB/M/AM (L),169 cm,62 kg,22,€130K - €5.6M,"€43,000 p/m",Technical,Wing-Back
