UID,Name,DoB,Nat,Division,Club,Preferred Foot,Position,Height,Weight,Age,Transfer Value,Wage,Style
72038776,DeAndre Yedlin,9/7/1993 ,USA,Major League Soccer,Inter Miami,Right ,D/WB (R),173,73,28,3206000.0,"71,500",Physical
662994,Damir Kreilach,16/4/1989 ,CRO,Major League Soccer,Real Salt Lake,Right,"DM, M/AM (C), ST (C)",186,79,33,550000.0,"130,000",Leader
65002338,Jonathan Mensah,13/7/1990 ,GHA,Major League Soccer,Columbus,Right,D (C),188,84,31,1320000.0,"96,000",Leader
1508008,Víctor Vázquez,20/1/1987 ,ESP,Major League Soccer,LA Galaxy,Right,M/AM (C),181,79,35,71000.0,"37,000",Creative
28059811,Albert Rusnák,7/7/1994 ,SVK,Major League Soccer,Seattle,Right,AM (LC),176,74,27,3500000,"157,000",Creative
77017791,Miguel Trauco,25/8/1992 ,PER,Major League Soccer,San Jose,Left,D/WB (L),175,62,29,1875000.0,"12,500",Technical
67046417,Cristian Tello,11/8/1991 ,ESP,Major League Soccer,LAFC,Either,M/AM (RL),178,72,30,2650000.0,"135,000",Physical
14027034,Gastón Giménez,27/7/1991 ,PAR,Major League Soccer,Chicago,Left,"DM, M (C)",188,88,30,4637500.0,"111,000",Technical
14046838,Emiliano Rigoni,4/2/1993 ,ARG,Major League Soccer,Austin FC,Either,"AM (RLC), ST (C)",180,73,29,9650000.0,"193,000",Technical
980785,Brad Guzan,9/9/1984 ,USA,Major League Soccer,Atlanta United,Left,GK,194,94,37,200000.0,"38,500",Assertive
83111345,Nuno Santos,2/3/1999 ,POR,Major League Soccer,Charlotte FC,Right,"M (C), AM (RLC), ST (C)",177,69,23,7400000.0,"47,000",Creative
78100972,César Araújo,2/4/2001 ,URU,Major League Soccer,Orlando City,Right,"DM, M (C)",178,69,21,4437500.0,"22,000",Leader
63010485,Ján Gregus,29/1/1991 ,SVK,Major League Soccer,San Jose,Right,"DM, M (C)",191,83,31,937500.0,"55,000",Leader
72040390,Matt Miazga,19/7/1995 ,USA,Major League Soccer,Cincinnati,Right,D (C),191,84,26,9650000.0,"123,000",Technical
14031418,Luciano Acosta,31/5/1994 ,ARG,Major League Soccer,Cincinnati,Right,AM (C),161,59,28,11700000.0,"187,000",Creative
72040331,Jonathan Osorio,12/6/1992 ,CAN,Major League Soccer,Toronto FC,Right,M/AM (RLC),176,73,30,2825000.0,"86,000",Leader
78016332,Mauricio Pereyra,15/3/1990 ,URU,Major League Soccer,Orlando City,Right,"M (C), AM (RC)",173,68,32,1537500.0,"113,000",Creative
961300,Maximiliano Moralez,27/2/1987 ,ARG,Major League Soccer,NYCFC,Right,AM (RLC),161,55,35,275000.0,"65,500",Creative
81002616,Andre Blake,21/11/1990 ,JAM,Major League Soccer,Philadelphia,Right,GK,188,80,31,,"73,000",Shot Stopper
13148160,Teenage Hadebe,17/9/1995 ,ZIM,Major League Soccer,Houston,Left ,D (C),181,74,26,2420000.0,"99,000",Physical
16047316,Alessandro Schöpf,7/2/1994 ,AUT,Major League Soccer,Vancouver,Right,"WB (R), M/AM (RC)",178,74,28,6400000.0,"75,000",Technical
96092561,Karol Świderski,23/1/1997 ,POL,Major League Soccer,Charlotte FC,Either,ST (C),184,78,25,10100000.0,"190,000",Intelligent
38041412,Dániel Sallói,19/7/1996 ,HUN,Major League Soccer,Sporting KC,Right,"AM (RL), ST (C)",186,73,25,4187500.0,"42,500",Leader
80006923,Bryan Oviedo,18/2/1990 ,CRC,Major League Soccer,Real Salt Lake,Left,D/WB/M (L),172,70,32,83000.0,"35,000",Technical
72048183,Jesus Ferreira,24/12/2000 ,USA,Major League Soccer,FC Dallas,Right,"AM (RLC), ST (C)",176,69,21,6500000.0,"126,000",Creative
8444104,Larrys Mabiala,8/10/1987 ,COD,Major League Soccer,Portland,Right,D (C),188,84,34,247500.0,"38,000",Leader
42094832,William Agada,17/9/1999 ,NGA,Major League Soccer,Sporting KC,Either,"AM (L), ST (C)",184,80,22,1700000.0,"20,500",Physical
19124348,Héber,10/8/1991 ,BRA,Major League Soccer,NYCFC,Right,"M/AM (L), ST (C)",181,78,30,5800000.0,"66,500",Technical
77012995,Alexander Callens,4/5/1992 ,PER,Major League Soccer,NYCFC,Left ,D (LC),186,82,30,1100000.0,"64,000",Physical
91137292,Erik Thommy,20/8/1994 ,GER,Major League Soccer,Sporting KC,Right,"M (L), AM (RLC)",175,71,27,3595000.0,"110,000",Creative
75018971,Martín Rodríguez,5/8/1994 ,CHI,Major League Soccer,D.C. United,Right,"M (L), AM (RLC)",171,68,27,1650000.0,"50,000",Creative
863702,Kelvin Leerdam,24/6/1990 ,SUR,Major League Soccer,LA Galaxy,Right,"D/WB (R), DM, M (C)",178,79,32,605000.0,"28,000",Physical
51041098,Paul Arriola,5/2/1995 ,USA,Major League Soccer,FC Dallas,Right,M/AM (RL),168,67,27,6350000.0,"95,000",Technical
92022817,Bobby Wood,15/11/1992 ,USA,Major League Soccer,Real Salt Lake,Right,ST (C),181,79,29,3150000.0,"85,500",Physical
29075076,Joevin Jones,3/8/1991 ,TRI,Major League Soccer,Inter Miami,Left ,D/WB/M/AM (L),181,73,30,605000.0,"38,500",Physical
81001828,Kemar Lawrence,17/9/1992 ,JAM,Major League Soccer,Minnesota,Left ,D/WB (L),178,73,29,3505000.0,"40,500",Physical
76035677,Cristian Arango,9/3/1995 ,COL,Major League Soccer,LAFC,Right,"AM (C), ST (C)",178,78,27,4850000.0,"57,500",Leader
67038644,Andreu Fontàs,14/11/1989 ,ESP,Major League Soccer,Sporting KC,Left ,"D (C), DM",188,91,32,715000.0,"94,500",Technical
37002395,Nick Marsman,1/10/1990 ,NED,Major League Soccer,Inter Miami,Right ,GK,188,88,31,,"49,500",Distributor
85042905,Nicolas Isimat-Mirin,15/11/1991 ,FRA,Major League Soccer,Sporting KC,Right,D (C),187,82,30,1700000.0,"86,500",Physical
72041431,Aaron Long,12/10/1992 ,USA,Major League Soccer,New York,Right,D (C),186,87,29,1265000.0,"90,500",Physical
37056755,Nigel Robertha,13/2/1998 ,CUW,Major League Soccer,D.C. United,Right,ST (C),182,77,24,2400000,"52,500",Physical
24021175,Dario Zuparic,3/5/1992 ,CRO,Major League Soccer,Portland,Right ,D (C),188,84,30,440000.0,"64,500",Physical
14068839,Yeimar Gómez Andrade,30/6/1992 ,COL,Major League Soccer,Seattle,Right ,D (C),188,91,29,880000.0,"60,500",Leader
72044167,Cristian Roldan,3/6/1995 ,USA,Major League Soccer,Seattle,Right,M/AM (RC),173,75,27,5350000.0,"82,500",Leader
72049175,Djordje Mihailović,10/11/1998 ,USA,Major League Soccer,CF Montréal,Right,M/AM (C),178,70,23,6500000.0,"63,000",Technical
86060139,José Cifuentes,12/3/1999 ,ECU,Major League Soccer,LAFC,Right,"DM, M (C)",175,72,23,6200000.0,"34,500",Physical
78088631,Santiago Rodríguez,8/1/2000 ,URU,Major League Soccer,NYCFC,Right,AM (C),172,62,22,990000.0,"15,000",Creative
19189285,Jean Mota,15/10/1993 ,BRA,Major League Soccer,Inter Miami,Left,"D/WB (L), DM, M/AM (LC)",172,75,28,7800000.0,"67,500",Technical
92025867,Rafael Czichos,14/5/1990 ,GER,Major League Soccer,Chicago,Left,"D (LC), WB (L)",186,93,32,,"112,000",Leader
38041617,Dániel Gazdag,2/3/1996 ,HUN,Major League Soccer,Philadelphia,Right,"M/AM (C), ST (C)",178,76,26,3750000.0,"49,500",Creative
45033974,Yûya Kubo,24/12/1993 ,JPN,Major League Soccer,Cincinnati,Right,"DM, M/AM (C)",178,73,28,475000,"101,000",Leader
53010020,Ola Kamara,15/10/1989 ,NOR,Major League Soccer,D.C. United,Right,"AM (RLC), ST (C)",183,83,32,605000.0,"128,000",Physical
33028111,Robert Taylor,21/10/1994 ,FIN,Major League Soccer,Inter Miami,Right,M/AM (RL),182,78,27,1812500.0,"23,500",Technical
14001292,Sebastián Blanco,15/3/1988 ,ARG,Major League Soccer,Portland,Right,"M (RC), AM (RLC)",168,69,34,,"144,000",Leader
85100464,Samuel Piette,12/11/1994 ,CAN,Major League Soccer,CF Montréal,Right,"DM, M (C)",171,78,27,3950000.0,"42,500",Leader
76014908,Yimmi Chará,2/4/1991 ,COL,Major League Soccer,Portland,Right,"AM (RL), ST (C)",165,68,31,2200000.0,"152,000",Physical
86065934,Leonardo Campana,24/7/2000 ,ECU,Major League Soccer,Inter Miami,Left ,ST (C),188,82,21,13750000.0,"75,500",Physical
72046373,Jordan Morris,26/10/1994 ,USA,Major League Soccer,Seattle,Right,"AM (RL), ST (C)",183,84,27,5650000.0,"115,000",Physical
93006080,Alejandro Bedoya,29/4/1987 ,USA,Major League Soccer,Philadelphia,Right,M (RC),181,77,35,177500.0,"93,500",Leader
14000747,Gustavo Bou,18/2/1990 ,ARG,Major League Soccer,New England,Right,"AM (C), ST (C)",178,73,32,,"225,000",Technical
72021541,Sean Johnson,31/5/1989 ,USA,Major League Soccer,NYCFC,Right ,GK,191,99,33,2250000.0,"43,000",Shot Stopper
55067769,Nanu,17/5/1994 ,GNB,Major League Soccer,FC Dallas,Right,"D/WB/M (R), AM (RL)",177,69,28,1250000.0,"26,000",Physical
85003588,Maxime Chanot,21/11/1989 ,LUX,Major League Soccer,NYCFC,Right,D (RC),186,79,32,825000.0,"66,000",Leader
37005644,Johan Kappelhof,5/8/1990 ,NED,Major League Soccer,Real Salt Lake,Right,D (RC),181,70,31,715000.0,"24,000",Physical
27010766,Victor Pálsson,30/4/1991 ,ISL,Major League Soccer,D.C. United,Right,"DM, M (C)",186,82,31,1487500.0,"72,500",Leader
91005031,Alexander Ring,9/4/1991 ,FIN,Major League Soccer,Austin FC,Right,"DM, M (C)",176,74,31,2300000,"138,000",Leader
51012676,Alan Pulido,8/3/1991 ,MEX,Major League Soccer,Sporting KC,Right,"AM (C), ST (C)",178,69,31,,"185,000",Intelligent
85078875,Rudy Camacho,5/3/1991 ,FRA,Major League Soccer,CF Montréal,Right,D (C),186,79,31,260000.0,"46,500",Leader
37061970,Maarten Paes,14/5/1998 ,NED,Major League Soccer,FC Dallas,Right,GK,191,82,24,3600000.0,"15,750",Shot Stopper
19215572,Luiz Araújo,2/6/1996 ,BRA,Major League Soccer,Atlanta United,Left,AM (RL),176,70,26,12500000.0,"331,000",Creative
15023766,Miloš Degenek,28/4/1994 ,AUS,Major League Soccer,Columbus,Right,D (RLC),187,81,28,2711000.0,"68,000",Leader
87015304,Romell Quioto,9/8/1991 ,HON,Major League Soccer,CF Montréal,Right,"AM (RL), ST (C)",181,78,30,3937500.0,"60,000",Physical
91018517,Alfredo Morales,12/5/1990 ,USA,Major League Soccer,NYCFC,Right,"DM, M (RC)",183,77,32,1200000,"55,500",Leader
72037051,Kellyn Acosta,24/7/1995 ,USA,Major League Soccer,LAFC,Either,"DM, M (C)",178,69,26,3200000.0,"102,000",Physical
61006880,Johnny Russell,8/4/1990 ,SCO,Major League Soccer,Sporting KC,Left ,AM (RL),176,80,32,,"168,000",Leader
62015683,Boris Sekulić,21/10/1991 ,SVK,Major League Soccer,Chicago,Either,"D (RLC), WB (RL)",188,83,30,275000.0,"56,000",Physical
80033143,Allan Cruz,24/2/1996 ,CRC,Major League Soccer,Cincinnati,Right,"DM, M (RLC)",171,71,26,105000.0,"105,000",Physical
72014270,Graham Zusi,8/8/1986 ,USA,Major League Soccer,Sporting KC,Right,D/WB/M/AM (R),178,71,35,55000.0,"38,000",Technical
80026190,Rónald Matarrita,9/7/1994 ,CRC,Major League Soccer,Cincinnati,Left,D/WB/M/AM (L),176,70,27,1650000.0,"68,000",Technical
14060325,Cristian Espinoza,3/4/1995 ,ARG,Major League Soccer,San Jose,Right,AM (RL),176,74,27,8150000.0,"106,000",Physical
14077429,Andrés Cubas,22/5/1996 ,PAR,Major League Soccer,Vancouver,Right,"DM, M (C)",169,60,26,2000000,"75,500",Intelligent
61042729,Ryan Gauld,16/12/1995 ,SCO,Major League Soccer,Vancouver,Left ,"M (C), AM (LC)",169,61,26,7700000.0,"190,000",Technical
81015053,Alvas Powell,18/7/1994 ,JAM,Major League Soccer,Cincinnati,Right,D (R),183,84,27,1075000.0,"14,000",Physical
72041405,Damion Lowe,5/5/1993 ,JAM,Major League Soccer,Inter Miami,Right,D (C),191,79,29,3750000.0,"22,500",Leader
20501493,Mark-Anthony Kaye,2/12/1994 ,CAN,Major League Soccer,Toronto FC,Left,"D (L), DM, M (LC)",186,73,27,7500000.0,"59,000",Technical
86050955,Xavier Arreaga,28/9/1994 ,ECU,Major League Soccer,Seattle,Right,"D (C), DM",183,75,27,1100000.0,"59,000",Physical
72006696,Roger Espinoza,25/10/1986 ,HON,Major League Soccer,Sporting KC,Left,"DM, M (C)",178,84,35,88000.0,"25,000",Leader
72049128,Jack Elliott,24/8/1995 ,ENG,Major League Soccer,Philadelphia,Right,D (C),199,84,26,2200000.0,"66,500",Physical
72038783,Gyasi Zardes,2/9/1991 ,USA,Major League Soccer,Colorado,Right,"AM (RL), ST (C)",186,85,30,880000.0,"130,000",Physical
78087432,Guzmán Corujo,2/8/1996 ,URU,Major League Soccer,Charlotte FC,Right,D (C),188,85,25,2312500.0,"53,000",Leader
53056995,Jakob Glesnes,25/3/1994 ,NOR,Major League Soccer,Philadelphia,Right,D (C),188,84,28,1487500.0,"62,000",Leader
78094472,Nicolás Acevedo,14/4/1999 ,URU,Major League Soccer,NYCFC,Right,"DM, M (C)",173,73,23,4062500.0,"12,750",Physical
72023345,Darlington Nagbe,19/7/1990 ,USA,Major League Soccer,Columbus,Right ,"DM, M (C)",176,78,31,,"148,000",Creative
79024208,Luis Amarilla,25/8/1995 ,PAR,Major League Soccer,Minnesota,Right,ST (C),182,74,26,5200000.0,"66,000",Physical
86067902,Diego Palacios,12/7/1999 ,ECU,Major League Soccer,LAFC,Left,D/WB/M/AM (L),169,62,22,2865000.0,"43,000",Technical
61011786,Danny Wilson,27/12/1991 ,SCO,Major League Soccer,Colorado,Left,"D (C), DM",188,79,30,1987500.0,"30,000",Technical
93010794,Anton Tinnerholm,26/2/1991 ,SWE,Major League Soccer,NYCFC,Right,D/WB (R),176,69,31,1375000.0,"54,500",Leader
19302917,Brenner,16/1/2000 ,BRA,Major League Soccer,Cincinnati,Right,ST (C),175,70,22,9000000.0,"186,000",Physical
51013919,William Yarbrough,20/3/1989 ,USA,Major League Soccer,Colorado,Right,GK,181,78,33,495000.0,"31,500",Shot Stopper
77028193,Yordy Reyna,17/9/1993 ,PER,Major League Soccer,Charlotte FC,Right,"AM (RC), ST (C)",171,66,28,4200000.0,"67,000",Physical
88000990,Michael Boxall,18/8/1988 ,NZL,Major League Soccer,Minnesota,Right ,D (RC),188,91,33,412500.0,"55,000",Physical
72056139,Alistair Johnston,8/10/1998 ,CAN,Major League Soccer,CF Montréal,Right,"D (RC), WB (R)",181,78,23,2650000.0,"44,000",Leader
96053166,Jarosław Niezgoda,15/3/1995 ,POL,Major League Soccer,Portland,Either,ST (C),185,73,27,2900000,"82,000",Intelligent
55079861,James Igbekeme,4/7/1995 ,NGA,Major League Soccer,Columbus,Left ,M (LC),170,66,26,1100000.0,"17,250",Technical
16067270,Ismael Tajouri-Shradi,22/3/1994 ,LBY,Major League Soccer,New England,Left,"AM (RL), ST (C)",168,64,28,2087500.0,"54,500",Technical
8829200,Fredy Montero,26/7/1987 ,COL,Major League Soccer,Seattle,Right,"AM (C), ST (C)",176,69,34,55000.0,"9,250",Technical
86047757,Sergio Córdova,9/8/1997 ,VEN,Major League Soccer,Real Salt Lake,Right,"M/AM (R), ST (C)",188,87,24,3400000.0,"32,500",Physical
24014303,Kristijan Kahlina,24/7/1992 ,CRO,Major League Soccer,Charlotte FC,Right ,GK,188,74,29,2800000.0,"38,000",Shot Stopper
13158617,Obinna Nwobodo,29/11/1996 ,NGA,Major League Soccer,Cincinnati,Right,"DM, M (C)",180,71,25,7000000.0,"86,500",Physical
72014252,Omar González,11/10/1988 ,USA,Major League Soccer,New England,Right,D (C),196,93,33,1100000.0,"38,000",Physical
93054601,Emmanuel Boateng,17/1/1994 ,GHA,Major League Soccer,New England,Left ,M/AM (RL),168,69,28,575000.0,"19,000",Physical
72006682,Geoff Cameron,11/7/1985 ,USA,Major League Soccer,Cincinnati,Right,"D (RC), DM, M (C)",191,84,36,61000.0,"37,000",Leader
91109529,Kacper Przybyłko,25/3/1993 ,POL,Major League Soccer,Chicago,Right,ST (C),194,89,29,7800000.0,"102,000",Physical
78058339,Lucas Cavallini,28/12/1992 ,CAN,Major League Soccer,Vancouver,Left,ST (C),182,84,29,1100000.0,"123,000",Physical
76037807,Cristian Dájome,3/1/1994 ,COL,Major League Soccer,Vancouver,Right,"AM (RLC), ST (C)",173,69,28,2825000.0,"68,500",Physical
211387,Lewis Morgan,30/9/1996 ,SCO,Major League Soccer,New York,Either,AM (RLC),178,75,25,2037500.0,"55,000",Technical
55028168,Pedro Santos,22/4/1988 ,POR,Major League Soccer,Columbus,Left,D/WB/M/AM (L),168,64,34,385000.0,"58,000",Technical
87034555,Bryan Acosta,24/11/1993 ,HON,Major League Soccer,Colorado,Right,M/AM (C),173,74,28,2312500.0,"59,500",Physical
36515162,Remi Walter,26/4/1995 ,FRA,Major League Soccer,Sporting KC,Left,"DM, M (C)",174,70,27,5200000.0,"67,000",Physical
14184530,Julián Carranza,22/5/2000 ,ARG,Major League Soccer,Philadelphia,Right,ST (C),183,75,22,6900000.0,"75,500",Physical
14185004,Alan Franco,11/10/1996 ,ARG,Major League Soccer,Atlanta United,Right ,D (C),181,78,25,4850000.0,"56,000",Physical
72041400,Steven Birnbaum,23/1/1991 ,USA,Major League Soccer,D.C. United,Right,D (C),186,82,31,825000.0,"64,000",Physical
85134381,Bill Tuiloma,27/2/1995 ,NZL,Major League Soccer,Portland,Right,"D (C), DM",178,80,27,2800000.0,"25,500",Physical
72045915,Richie Laryea,7/1/1995 ,CAN,Major League Soccer,Toronto FC,Right,D/WB (RL),176,69,27,1975000.0,"30,000",Physical
19184434,Carlos Coronel,29/12/1996 ,BRA,Major League Soccer,New York,Right,GK,192,88,25,3120000.0,"44,500",Distributor
85145065,Denis Bouanga,11/11/1994 ,GAB,Major League Soccer,LAFC,Right,"M (L), AM (RL)",180,71,27,10100000.0,"175,000",Creative
82002871,Kevin Molino,17/6/1990 ,TRI,Major League Soccer,Columbus,Right ,"M (L), AM (LC)",173,71,32,137000.0,"59,000",Technical
28058298,Brad Smith,9/4/1994 ,AUS,Major League Soccer,D.C. United,Left ,D/WB (L),178,70,28,1045000.0,"49,500",Physical
86049497,José Martínez,7/8/1994 ,VEN,Major League Soccer,Philadelphia,Right,"DM, M (C)",176,69,27,2600000.0,"23,000",Leader
2000121309,Ismaël Koné,6/6/2002 ,CAN,Major League Soccer,CF Montréal,Right,M/AM (LC),188,77,20,1475000.0,"5,500",Physical
72026254,Matt Hedges,1/4/1990 ,USA,Major League Soccer,FC Dallas,Right,D (C),194,84,32,1155000.0,"75,500",Physical
91175809,Kai Wagner,15/2/1997 ,GER,Major League Soccer,Philadelphia,Left,D/WB/M (L),183,79,25,3150000.0,"49,000",Technical
75016346,Felipe Mora,2/8/1993 ,CHI,Major League Soccer,Portland,Right,ST (C),176,69,28,4175000.0,"80,000",Physical
51043662,Raúl Gudiño,22/4/1996 ,MEX,Major League Soccer,Atlanta United,Right ,GK,196,82,26,825000.0,"21,000",Distributor
86033170,Junior Moreno,20/7/1993 ,VEN,Major League Soccer,Cincinnati,Right,"DM, M (C)",176,70,28,1265000.0,"31,500",Physical
72021725,Andy Najar,16/3/1993 ,HON,Major League Soccer,D.C. United,Right ,"D/WB (R), M (RC), AM (R)",171,69,29,1550000.0,"31,500",Technical
67185039,Wilfrid Kaptoum,7/7/1996 ,CMR,Major League Soccer,New England,Right,M/AM (C),174,72,25,850000,"49,000",Technical
67071184,Oriol Rosell,7/7/1992 ,ESP,Major League Soccer,Sporting KC,Right,DM,183,77,29,3080000.0,"40,000",Technical
62175144,Dejan Joveljić,7/8/1999 ,SRB,Major League Soccer,LA Galaxy,Right,ST (C),182,76,22,5150000.0,"51,500",Intelligent
14079992,Marcelino Moreno,25/6/1995 ,ARG,Major League Soccer,Atlanta United,Left,"M (C), AM (RLC)",168,65,27,6700000.0,"38,500",Creative
72052876,André Shinyashiki,11/6/1997 ,BRA,Major League Soccer,Charlotte FC,Right,"AM (RLC), ST (C)",176,69,25,467500.0,"12,500",Technical
19362860,Talles Magno,26/6/2002 ,BRA,Major League Soccer,NYCFC,Right,"AM (RLC), ST (C)",186,70,20,7800000.0,"101,000",Creative
85038076,Romain Métanire,28/3/1990 ,MAD,Major League Soccer,Minnesota,Right,D/WB (R),178,73,32,1265000.0,"69,000",Physical
856952,Kenneth Vermeer,10/1/1986 ,NED,Major League Soccer,Cincinnati,Right ,GK,182,86,36,35000.0,"7,000",Assertive
72038777,Wil Trapp,15/1/1993 ,USA,Major League Soccer,Minnesota,Right,"DM, M (C)",173,69,29,2300000.0,"66,000",Leader
72048240,Jonathan Lewis,4/6/1997 ,USA,Major League Soccer,Colorado,Right,"M/AM (RL), ST (C)",171,69,25,3475000.0,"36,500",Physical
28106864,Brooks Lennon,22/9/1997 ,USA,Major League Soccer,Atlanta United,Right ,D/WB/M/AM (R),178,72,24,1537500.0,"42,000",Physical
96075397,Kamil Jóźwiak,22/4/1998 ,POL,Major League Soccer,Charlotte FC,Right ,"WB/M (R), AM (RL)",176,70,24,2200000.0,"85,500",Technical
14023180,Aníbal Godoy,10/2/1990 ,PAN,Major League Soccer,Nashville,Left,"DM, M (C)",181,73,32,,"73,000",Leader
