df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score
fm_1123,tm_1309,Andrés Cubas,1996-05-22,Andrés Cubas,1996-05-22,PAR,Paraguay,Vancouver,Vancouver Whitecaps FC,True
fm_1744,tm_1200,Niko Tsakiris,2005-06-19,Niko Tsakiris,2005-06-19,USA,United States,San Jose,San Jose Earthquakes,True
fm_2121,tm_4121,Damien Marcq,1988-12-08,Damien Marcq,1988-12-08,FRA,France,Charleroi,RSC Charleroi,True
fm_2002,tm_4147,Roman Neustädter,1988-02-18,Roman Neustädter,1988-02-18,RUS,Russia,Westerlo,KVC Westerlo,True
fm_14468,tm_6541,Joselu,1990-03-27,Joselu,1990-03-27,ESP,Spain,Espanyol,RCD Espanyol Barcelona,True
fm_3420,tm_10856,Gino Fechner,1997-09-05,Gino Fechner,1997-09-05,GER,Germany,SV Wehen Wiesbaden,SV Wehen Wiesbaden,True
fm_16788,tm_8218,Youssouf Assogba,2001-08-21,Youssouf Assogba,2001-08-21,BEN,Benin,Amiens SC,Amiens SC,True
fm_1900,tm_7925,Jonathan Burkardt,2000-07-11,Jonathan Burkardt,2000-07-11,GER,Germany,Mainz 05,1.FSV Mainz 05,True
fm_2039,tm_7807,Roland Sallai,1997-05-22,Roland Sallai,1997-05-22,HUN,Hungary,SC Freiburg,SC Freiburg,True
fm_1247,tm_8619,João Moutinho,1998-01-12,João Moutinho,1998-01-12,POR,Portugal,Orlando City,Spezia Calcio,True
fm_14277,tm_3422,Luiz Felipe,1997-03-22,Luiz Felipe,1997-03-22,ITA,Italy,Real Hispalis,Al-Ittihad Club,True
fm_10161,tm_3445,Romarinho,1990-12-12,Romarinho,1990-12-12,BRA,Brazil,Al-Ittihad,Al-Ittihad Club,True
fm_17140,tm_8366,Ivane Chegra,2004-03-03,Ivane Chegra,2004-03-03,FRA,Algeria,AC Ajaccio,AC Ajaccio,True
fm_6610,tm_8935,Mario Sampirisi,1992-10-31,Mario Sampirisi,1992-10-31,ITA,Italy,Frosinone,AC Reggiana 1919,True
fm_15631,tm_9295,Sergi Enrich,1990-02-26,Sergi Enrich,1990-02-26,ESP,Spain,Oviedo,Real Zaragoza,True
fm_14136,tm_6562,Robert Lewandowski,1988-08-21,Robert Lewandowski,1988-08-21,POL,Poland,Barcelona,FC Barcelona,True
fm_2397,tm_3500,Yorbe Vertessen,2001-01-08,Yorbe Vertessen,2001-01-08,BEL,Belgium,PSV,PSV Eindhoven,True
fm_2020,tm_7649,Lukas Klostermann,1996-06-03,Lukas Klostermann,1996-06-03,GER,Germany,RB Leipzig,RB Leipzig,True
fm_1884,tm_7709,Janik Haberer,1994-04-02,Janik Haberer,1994-04-02,GER,Germany,Union Berlin,1.FC Union Berlin,True
fm_16081,tm_5849,Mikkel Desler,1995-02-19,Mikkel Desler,1995-02-19,DEN,Denmark,Toulouse FC,FC Toulouse,True
fm_6998,tm_6112,Mario Gila,2000-08-29,Mario Gila,2000-08-29,ESP,Spain,Lazio,SS Lazio,True
fm_6990,tm_5381,Leandro Sanca,2000-01-04,Leandro Sanca,2000-01-04,POR,Guinea-Bissau,Spezia,GD Chaves,True
fm_2694,tm_3585,Mees Hilgers,2001-05-13,Mees Hilgers,2001-05-13,NED,Netherlands,FC Twente,Twente Enschede FC,True
fm_1424,tm_1250,Jimmy Medranda,1994-02-07,Jimmy Medranda,1994-02-07,COL,Colombia,Seattle,Columbus Crew,True
fm_14905,tm_6914,Joseba Zaldua,1992-06-24,Joseba Zaldua,1992-06-24,ESP,Spain,Cádiz,Cádiz CF,True
fm_1828,tm_7663,Yussuf Poulsen,1994-06-15,Yussuf Poulsen,1994-06-15,DEN,Denmark,RB Leipzig,RB Leipzig,True
fm_3534,tm_10850,Nico Rieble,1995-08-22,Nico Rieble,1995-08-22,GER,Germany,SV Wehen Wiesbaden,SV Wehen Wiesbaden,True
fm_15338,tm_9495,Alfredo Ortuño,1991-01-21,Alfredo Ortuño,1991-01-21,ESP,Spain,Cartagena,FC Cartagena,True
fm_1169,tm_1262,Kevin Molino,1990-06-17,Kevin Molino,1990-06-17,TRI,Trinidad and Tobago,Columbus,Columbus Crew,True
fm_15934,tm_6776,Williot Swedberg,2004-02-01,Williot Swedberg,2004-02-01,SWE,Sweden,Vigo,Celta de Vigo,True
fm_2056,tm_2482,Virgil Misidjan,1993-07-24,Virgil Misidjan,1993-07-24,NED,Netherlands,FC Twente,Al-Tai FC,True
fm_16225,tm_1515,Alonso Aceves,2001-03-28,Alonso Aceves,2001-03-28,MEX,Mexico,Oviedo,,True
fm_11481,tm_7195,Miguel Almirón,1994-02-10,Miguel Almirón,1994-02-10,PAR,Paraguay,Newcastle,Newcastle United,True
fm_7178,tm_9162,Duccio Degli Innocenti,2003-04-28,Duccio Degli Innocenti,2003-04-28,ITA,Italy,Empoli,FC Empoli,True
fm_11368,tm_9724,Wilfred Ndidi,1996-12-16,Wilfred Ndidi,1996-12-16,NGA,Nigeria,Leicester,Leicester City,True
fm_16031,tm_9301,Oier Luengo,1997-11-11,Oier Luengo,1997-11-11,ESP,Spain,Oviedo,Real Oviedo,True
fm_16755,tm_5686,Nathan Zeze,2005-06-18,Nathan Zeze,2005-06-18,FRA,France,FC Nantes,FC Nantes,True
fm_1751,tm_2079,Edison Azcona,2003-11-21,Edison Azcona,2003-11-21,DOM,Dominican Republic,Inter Miami,Inter Miami CF,True
fm_3712,tm_2690,Jonas Oehmichen,2004-03-03,Jonas Oehmichen,2004-03-03,GER,Germany,Dynamo Dresden,SG Dynamo Dresden,True
fm_14967,tm_8187,Yan Valery,1999-02-22,Yan Valery,1999-02-22,TUN,Tunisia,Angers SCO,Angers SCO,True
fm_1928,tm_7242,Mohammed Kudus,2000-08-02,Mohammed Kudus,2000-08-02,GHA,Ghana,Ajax,West Ham United,True
fm_7306,tm_8989,Alessandro Fontanarosa,2003-02-07,Alessandro Fontanarosa,2003-02-07,ITA,Italy,Inter,Inter Milan,True
fm_11484,tm_7440,Carlos Vinícius,1995-03-25,Carlos Vinícius,1995-03-25,BRA,Brazil,Fulham,Fulham FC,True
fm_15598,tm_5869,Mory Diaw,1993-06-22,Mory Diaw,1993-06-22,SEN,Senegal,Clermont,Clermont Foot 63,True
fm_6271,tm_4997,Arthur Cabral,1998-04-25,Arthur Cabral,1998-04-25,BRA,Brazil,Fiorentina,SL Benfica,True
fm_9642,tm_4435,Emrecan Uzunhan,2001-02-26,Emrecan Uzunhan,2001-02-26,TUR,Turkey,Beşiktaş,Besiktas JK,True
fm_15332,tm_9635,Nikita Iosifov,2001-04-11,Nikita Iosifov,2001-04-11,RUS,Russia,Villarreal B,CD Mirandés,True
fm_6711,tm_10095,Luis Binks,2001-09-02,Luis Binks,2001-09-02,ENG,England,Como,Bologna FC 1909,True
fm_1621,tm_2204,Jackson Ragen,1998-09-24,Jackson Ragen,1998-09-24,USA,United States,Seattle,Seattle Sounders FC,True
fm_9509,tm_4712,Majid Hosseini,1996-06-20,Majid Hosseini,1996-06-20,IRN,Iran,Kayserispor,Kayserispor,True
fm_6165,tm_6449,Nicola Sansone,1991-09-10,Nicola Sansone,1991-09-10,ITA,Italy,Bologna,US Lecce,True
fm_11868,tm_9962,Darragh Lenihan,1994-03-16,Darragh Lenihan,1994-03-16,IRL,Ireland,Middlesbrough,Middlesbrough FC,True
fm_6046,tm_6045,Paul Pogba,1993-03-15,Paul Pogba,1993-03-15,FRA,France,Juventus,Juventus FC,True
fm_12034,tm_10002,Callum O'Dowda,1995-04-23,Callum O'Dowda,1995-04-23,IRL,Ireland,Cardiff,Cardiff City,True
fm_14379,tm_6809,David Soria,1993-04-04,David Soria,1993-04-04,ESP,Spain,Getafe,Getafe CF,True
fm_6903,tm_9046,Niccolò Corrado,2000-03-19,Niccolò Corrado,2000-03-19,ITA,Italy,Ternana,Ternana Calcio,True
fm_11713,tm_9812,Adam Forshaw,1991-10-08,Adam Forshaw,1991-10-08,ENG,England,Leeds,Norwich City,True
fm_6566,tm_8704,Antonio Barreca,1995-03-18,Antonio Barreca,1995-03-18,ITA,Italy,Cagliari,UC Sampdoria,True
fm_11628,tm_7483,Jack Cork,1989-06-25,Jack Cork,1989-06-25,ENG,England,Burnley,Burnley FC,True
fm_6936,tm_6358,Samuele Vignato,2004-02-24,Samuele Vignato,2004-02-24,ITA,Italy,Brianza,AC Monza,True
fm_3250,tm_1721,Kolja Pusch,1993-02-12,Kolja Pusch,1993-02-12,GER,Germany,MSV Duisburg,MSV Duisburg,True
fm_11318,tm_7101,Donny van de Beek,1997-04-18,Donny van de Beek,1997-04-18,NED,Netherlands,Man UFC,Manchester United,True
fm_6843,tm_6403,Bruno Amione,2002-01-03,Bruno Amione,2002-01-03,ARG,Argentina,Sampdoria,Hellas Verona,True
fm_1217,tm_1157,Ben Sweat,1991-09-04,Ben Sweat,1991-09-04,USA,United States,Sporting KC,New England Revolution,True
fm_2261,tm_7948,Florian Kainz,1992-10-24,Florian Kainz,1992-10-24,AUT,Austria,1. FC Köln,1.FC Köln,True
fm_16097,tm_5866,Yanis Begraoui,2001-07-04,Yanis Begraoui,2001-07-04,FRA,Morocco,Toulouse FC,FC Toulouse,True
fm_15380,tm_9491,David Ferreiro,1988-04-01,David Ferreiro,1988-04-01,ESP,Spain,Cartagena,FC Cartagena,True
fm_10202,tm_2594,Anselmo,1989-02-20,Anselmo,1989-02-20,BRA,Brazil,Al-Wehda,Al-Wehda FC,True
fm_9673,tm_4921,Samba Camara,1992-11-14,Samba Camara,1992-11-14,MLI,Mali,Sivasspor,Sivasspor,True
fm_11815,tm_7192,Elliot Anderson,2002-11-06,Elliot Anderson,2002-11-06,SCO,Scotland,Newcastle,Newcastle United,True
fm_14624,tm_9184,Fernando Calero,1995-09-14,Fernando Calero,1995-09-14,ESP,Spain,Espanyol,RCD Espanyol Barcelona,True
fm_16359,tm_8506,Gaby Jean,2000-02-19,Gaby Jean,2000-02-19,FRA,France,FC Annecy,FC Annecy,True
fm_6981,tm_9108,Daouda Peeters,1999-01-26,Daouda Peeters,1999-01-26,BEL,Belgium,Juventus,,True
fm_2580,tm_8043,Kevin Müller,1991-03-15,Kevin Müller,1991-03-15,GER,Germany,Heidenheim,1.FC Heidenheim 1846,True
fm_3277,tm_2788,Boné Uaferro,1992-01-04,Boné Uaferro,1992-01-04,MOZ,Germany,1. FC Saarbrücken,1.FC Saarbrücken,True
fm_16510,tm_9380,Diyaeddine Abzi,1998-11-23,Diyaeddine Abzi,1998-11-23,CAN,Canada,Pau FC,Pau FC,True
fm_1960,tm_7656,Christoph Baumgartner,1999-08-01,Christoph Baumgartner,1999-08-01,AUT,Austria,Hoffenheim,RB Leipzig,True
fm_14542,tm_5025,Fran Navarro,1998-02-03,Fran Navarro,1998-02-03,ESP,Spain,Gil Vicente,FC Porto,True
fm_6549,tm_6324,Grigoris Kastanos,1998-01-30,Grigoris Kastanos,1998-01-30,CYP,Cyprus,Salernitana,US Salernitana 1919,True
fm_12110,tm_9992,Vontae Daley-Campbell,2001-04-02,Vontae Daley-Campbell,2001-04-02,ENG,England,Cardiff,Cardiff City,True
fm_6572,tm_9062,Andrea Favilli,1997-05-17,Andrea Favilli,1997-05-17,ITA,Italy,Ternana,Genoa CFC,True
fm_7177,tm_8664,Adrian Benedyczak,2000-11-24,Adrian Benedyczak,2000-11-24,POL,Poland,Parma,Parma Calcio 1913,True
fm_15569,tm_5022,Gonçalo Borges,2001-03-29,Gonçalo Borges,2001-03-29,POR,Portugal,FC Porto,FC Porto,True
fm_3751,tm_10671,Marcel Hoffmeier,1999-07-15,Marcel Hoffmeier,1999-07-15,GER,Germany,Paderborn,SC Paderborn 07,True
fm_3069,tm_1758,Fynn Lakenmacher,2000-05-10,Fynn Lakenmacher,2000-05-10,GER,Germany,1860 München,TSV 1860 Munich,True
fm_11384,tm_7033,William Saliba,2001-03-24,William Saliba,2001-03-24,FRA,France,Arsenal,Arsenal FC,True
fm_15097,tm_9324,Róber Pier,1995-02-16,Róber Pier,1995-02-16,ESP,Spain,Levante,Sporting Gijón,True
fm_9630,tm_4441,Tayfur Bingöl,1993-01-11,Tayfur Bingöl,1993-01-11,TUR,Turkey,Beşiktaş,Besiktas JK,True
fm_16204,tm_5103,Alex Dobre,1998-08-30,Alex Dobre,1998-08-30,ROU,Romania,Dijon FCO,FC Famalicão,True
fm_9527,tm_4794,Valentin Eysseric,1992-03-25,Valentin Eysseric,1992-03-25,FRA,France,Kasımpaşa,Fatih Karagümrük,True
fm_3878,tm_2676,Lars Bünning,1998-02-27,Lars Bünning,1998-02-27,GER,Germany,Kaiserslautern,SG Dynamo Dresden,True
fm_10270,tm_2248,Abdullah Al-Jawaey,1996-03-09,Abdullah Al-Jawaey,1996-03-09,KSA,Saudi Arabia,Al-Tai,Al-Shabab FC,True
fm_14677,tm_4328,Jeff Reine-Adélaïde,1998-01-17,Jeff Reine-Adélaïde,1998-01-17,FRA,France,OL,RWD Molenbeek,True
fm_14651,tm_9601,David Timor,1989-10-17,David Timor,1989-10-17,ESP,Spain,Huesca,CD Eldense,True
fm_2606,tm_7477,Hannes Delcroix,1999-02-28,Hannes Delcroix,1999-02-28,BEL,Belgium,RSC Anderlecht,Burnley FC,True
fm_6227,tm_6485,Gianluca Lapadula,1990-02-07,Gianluca Lapadula,1990-02-07,PER,Peru,Cagliari,Cagliari Calcio,True
fm_3319,tm_7851,Frederik Winther,2001-01-04,Frederik Winther,2001-01-04,DEN,Denmark,FC Augsburg,FC Augsburg,True
fm_9873,tm_4732,Hayrullah Erkip,2003-06-20,Hayrullah Erkip,2003-06-20,TUR,Turkey,Kayserispor,Kayserispor,True
fm_12609,tm_7480,Vitinho,1999-07-23,Vitinho,1999-07-23,BRA,Brazil,Burnley,Burnley FC,True
fm_15702,tm_5925,Fali Candé,1998-01-24,Fali Candé,1998-01-24,GNB,Guinea-Bissau,FC Metz,FC Metz,True
fm_16408,tm_8520,Steve Shamal,1996-02-22,Steve Shamal,1996-02-22,FRA,France,FC Annecy,FC Annecy,True
fm_16093,tm_8458,Johann Obiang,1993-07-05,Johann Obiang,1993-07-05,GAB,Gabon,SM Caen,Pau FC,True
fm_14800,tm_6543,Iñaki Peña,1999-03-02,Iñaki Peña,1999-03-02,ESP,Spain,Barcelona,FC Barcelona,True
fm_3583,tm_2657,Ted Tattermusch,2001-05-08,Ted Tattermusch,2001-05-08,GER,Germany,Borussia Dortmund II,Borussia Dortmund II,True
fm_16546,tm_9392,Naim García,2002-06-11,Naim García,2002-06-11,ESP,Spain,Leganés,CD Leganés,True
fm_16264,tm_5909,Rassoul Ndiaye,2001-12-11,Rassoul Ndiaye,2001-12-11,SEN,Senegal,FCSM,Le Havre AC,True
fm_16588,tm_8147,Rafiki Saïd,2000-03-15,Rafiki Saïd,2000-03-15,COM,Comoros,Nîmes,ESTAC Troyes,True
fm_3140,tm_10757,Nico Antonitsch,1991-09-30,Nico Antonitsch,1991-09-30,AUT,Austria,FC Ingolstadt 04,SV 07 Elversberg,True
fm_2315,tm_7730,Tony Jantschke,1990-04-07,Tony Jantschke,1990-04-07,GER,Germany,Borussia M'gladbach,Borussia Mönchengladbach,True
fm_6309,tm_8740,Andrea Barberis,1993-12-11,Andrea Barberis,1993-12-11,ITA,Italy,Brianza,Pisa Sporting Club,True
fm_16306,tm_8465,Steeve Beusnard,1992-06-27,Steeve Beusnard,1992-06-27,FRA,France,Pau FC,Pau FC,True
fm_11316,tm_7199,Emiliano Martínez,1992-09-02,Emiliano Martínez,1992-09-02,ARG,Argentina,Aston Villa,Aston Villa,True
fm_2328,tm_7598,Felix Nmecha,2000-10-10,Felix Nmecha,2000-10-10,GER,Germany,VfL Wolfsburg,Borussia Dortmund,True
fm_6732,tm_6232,Daniel Boloca,1998-12-22,Daniel Boloca,1998-12-22,ROU,Romania,Frosinone,US Sassuolo,True
fm_3270,tm_9218,Nicolás Castro,2000-11-01,Nicolás Castro,2000-11-01,ARG,Argentina,KRC Genk,KRC Genk,True
fm_1137,tm_2122,Diego Palacios,1999-07-12,Diego Palacios,1999-07-12,ECU,Ecuador,LAFC,Los Angeles FC,True
fm_9372,tm_3902,Jeffrey Bruma,1991-11-13,Jeffrey Bruma,1991-11-13,NED,Netherlands,Kasımpaşa,RKC Waalwijk,True
fm_6859,tm_9102,Kévin Vinetot,1988-06-14,Kévin Vinetot,1988-06-14,FRA,France,Südtirol,FC Südtirol,True
fm_3238,tm_1765,Niklas Landgraf,1996-03-01,Niklas Landgraf,1996-03-01,GER,Germany,Hallescher FC,Hallescher FC,True
fm_14887,tm_5393,Leonardo Lelo,2000-03-30,Leonardo Lelo,2000-03-30,POR,Portugal,Casa Pia,Casa Pia AC,True
fm_15129,tm_9589,Andrés Martín,1999-07-11,Andrés Martín,1999-07-11,ESP,Spain,Vallecano,Rayo Vallecano,True
fm_6743,tm_9115,Daniele Casiraghi,1993-03-10,Daniele Casiraghi,1993-03-10,ITA,Italy,Südtirol,FC Südtirol,True
fm_3051,tm_4303,Yonas Malede,1999-11-14,Yonas Malede,1999-11-14,ISR,Israel,KV Mechelen,KV Mechelen,True
fm_12405,tm_10572,Joseph Hungbo,2000-01-15,Joseph Hungbo,2000-01-15,ENG,England,Watford,1.FC Nuremberg,True
fm_6933,tm_6323,Emil Bohinen,1999-03-12,Emil Bohinen,1999-03-12,NOR,Norway,Salernitana,US Salernitana 1919,True
fm_1431,tm_1501,Cameron Harper,2001-11-19,Cameron Harper,2001-11-19,USA,United States,New York,New York Red Bulls,True
fm_16067,tm_8554,Malik Tchokounté,1988-09-11,Malik Tchokounté,1988-09-11,FRA,France,Nîmes,Stade Lavallois,True
fm_14752,tm_6936,Ignasi Miquel,1992-09-28,Ignasi Miquel,1992-09-28,ESP,Spain,Granada,Granada CF,True
fm_11263,tm_3433,Fabinho,1993-10-23,Fabinho,1993-10-23,BRA,Brazil,Liverpool,Al-Ittihad Club,True
fm_11498,tm_7364,Marcos Senesi,1997-05-10,Marcos Senesi,1997-05-10,ARG,Argentina,Bournemouth,AFC Bournemouth,True
fm_14356,tm_6589,Robin Le Normand,1996-11-11,Robin Le Normand,1996-11-11,FRA,Spain,Real San Sebastián,Real Sociedad,True
fm_14741,tm_9207,Pedro Bigas,1990-05-15,Pedro Bigas,1990-05-15,ESP,Spain,Elche,Elche CF,True
fm_9440,tm_4509,Berkay Özcan,1998-02-15,Berkay Özcan,1998-02-15,TUR,Turkey,Başakşehir FK,Basaksehir FK,True
fm_6896,tm_8902,Giovanni Zaro,1994-05-12,Giovanni Zaro,1994-05-12,ITA,Italy,Südtirol,Modena FC,True
fm_12054,tm_10117,Jordan Storey,1997-09-02,Jordan Storey,1997-09-02,ENG,England,Preston,Preston North End,True
fm_8978,tm_8895,Matteo Ferro,2004-02-27,Matteo Ferro,2004-02-27,ITA,Italy,Brescia,Brescia Calcio,True
fm_13396,tm_10023,Alfie Chang,2002-09-04,Alfie Chang,2002-09-04,ENG,England,Birmingham,Birmingham City,True
fm_9743,tm_4925,Ziya Erdal,1988-01-05,Ziya Erdal,1988-01-05,TUR,Turkey,Sivasspor,Sivasspor,True
fm_3445,tm_3808,Finn Stokkers,1996-04-18,Finn Stokkers,1996-04-18,NED,Netherlands,Go Ahead Eagles,Go Ahead Eagles,True
fm_1836,tm_4377,Angeliño,1997-01-04,Angeliño,1997-01-04,ESP,Spain,Hoffenheim,RB Leipzig,True
fm_3025,tm_4204,Jesper Daland,2000-01-06,Jesper Daland,2000-01-06,NOR,Norway,Cercle Brugge,Cercle Brugge,True
fm_12342,tm_9874,Matt Ingram,1993-12-18,Matt Ingram,1993-12-18,ENG,England,Hull,Hull City,True
fm_4099,tm_10388,Tjark Ernst,2003-03-15,Tjark Ernst,2003-03-15,GER,Germany,Hertha Berlin,Hertha BSC,True
fm_4000,tm_3870,Damon Mirani,1996-05-13,Damon Mirani,1996-05-13,NED,Netherlands,FC Volendam,FC Volendam,True
fm_14531,tm_6883,Abdul Mumin,1998-06-06,Abdul Mumin,1998-06-06,GHA,Ghana,Vallecano,Rayo Vallecano,True
fm_6157,tm_6094,Hans Hateboer,1994-01-09,Hans Hateboer,1994-01-09,NED,Netherlands,Atalanta,Atalanta BC,True
fm_1003,tm_2139,Carlos Vela,1989-03-01,Carlos Vela,1989-03-01,MEX,Mexico,LAFC,Los Angeles FC,True
fm_14883,tm_4650,Paul Bernardoni,1997-04-18,Paul Bernardoni,1997-04-18,FRA,France,Angers SCO,Konyaspor,True
fm_6194,tm_6116,Elseid Hysaj,1994-02-02,Elseid Hysaj,1994-02-02,ALB,Albania,Lazio,SS Lazio,True
fm_11351,tm_7157,Yves Bissouma,1996-08-30,Yves Bissouma,1996-08-30,MLI,Mali,Tottenham,Tottenham Hotspur,True
fm_3478,tm_3750,Iman Griffith,2001-12-02,Iman Griffith,2001-12-02,NED,Netherlands,AZ,,True
fm_5193,tm_4013,Louis Patris,2001-06-07,Louis Patris,2001-06-07,BEL,Belgium,OHL,RSC Anderlecht,True
fm_3771,tm_10668,Arne Schulz,2003-03-23,Arne Schulz,2003-03-23,GER,Germany,Arminia Bielefeld,SC Paderborn 07,True
fm_11780,tm_10077,Lewis Baker,1995-04-25,Lewis Baker,1995-04-25,ENG,England,Stoke,Stoke City,True
fm_9763,tm_4430,Utku Yuvakuran,1997-11-02,Utku Yuvakuran,1997-11-02,TUR,Turkey,Beşiktaş,Besiktas JK,True
fm_3714,tm_10472,Leo Weinkauf,1996-07-07,Leo Weinkauf,1996-07-07,GER,Germany,Hannover,Hannover 96,True
fm_6942,tm_8644,Botond Balogh,2002-06-06,Botond Balogh,2002-06-06,HUN,Hungary,Parma,Parma Calcio 1913,True
fm_3054,tm_4158,Mathias Fixelles,1996-08-11,Mathias Fixelles,1996-08-11,BEL,Belgium,Westerlo,KVC Westerlo,True
fm_1346,tm_1045,Paxton Pomykal,1999-12-17,Paxton Pomykal,1999-12-17,USA,United States,FC Dallas,FC Dallas,True
fm_16057,tm_10761,Hugo Vandermersch,1999-05-05,Hugo Vandermersch,1999-05-05,FRA,France,SM Caen,SM Caen,True
fm_9500,tm_9732,Yunus Akgün,2000-07-07,Yunus Akgün,2000-07-07,TUR,Turkey,Galatasaray,Galatasaray,True
fm_3095,tm_2802,Julian Günther-Schmidt,1994-09-13,Julian Günther-Schmidt,1994-09-13,GER,Germany,1. FC Saarbrücken,1.FC Saarbrücken,True
fm_10073,tm_4889,Brayan Riascos,1994-10-10,Brayan Riascos,1994-10-10,COL,Colombia,Al-Khaleej (KSA),,True
fm_1708,tm_1208,Will Richmond,2000-04-06,Will Richmond,2000-04-06,USA,United States,San Jose,San Jose Earthquakes,True
fm_7423,tm_3516,Benjamin Tahirovic,2003-03-03,Benjamin Tahirovic,2003-03-03,SWE,Bosnia-Herzegovina,Capitoline,Ajax Amsterdam,True
