df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score
fm_13561,tm_4043,Archie Chaplin,2005-10-28,Archie Brown,2002-05-28,ENG,England,Tottenham,KAA Gent,False
fm_7973,tm_3364,Saad El Haddad,2005-07-24,Fahd Al-Hamad,1998-07-01,ITA,Saudi Arabia,Brianza,Al-Ahli SFC,False
fm_4769,tm_3597,Gijs Bolk,2005-01-06,Gijs Besselink,2004-06-16,NED,Netherlands,FC Emmen,Twente Enschede FC,False
fm_7290,tm_1998,Clinton Nsiala Makengo,2004-01-17,Hannes Heilmair,2004-01-17,FRA,Germany,Milan,SpVgg Unterhaching,False
fm_12379,tm_1579,Dani van den Heuvel,2003-05-28,Danny Leyva,2003-05-05,NED,United States,Leeds,Seattle Sounders FC,False
fm_17098,tm_9521,José Antonio De la Rosa,2004-07-28,José Antonio Caro,1994-05-03,ESP,Spain,Cádiz,Burgos CF,False
fm_7436,tm_8845,Fedele Iovino,2005-07-10,Emmanuele Matino,1998-10-07,ITA,Italy,Cosenza,SSC Bari,False
fm_5929,tm_4604,Jacob Klautzsch,2005-10-31,Jakub Kaluzinski,2002-10-31,GER,Poland,Magdeburg,Antalyaspor,False
fm_18393,tm_7817,Vitaliy Osminkin,2005-04-09,Stanley Nsoki,1999-04-09,UKR,France,SC Bastia,TSG 1899 Hoffenheim,False
fm_5004,tm_3769,Amine Benslimane,2003-10-28,Stije Resink,2003-05-28,BEL,Netherlands,KV Kortrijk,Almere City FC,False
fm_6880,tm_5116,Musa Juwara,2001-12-26,Mamadou Tounkara,2001-12-14,GAM,France,Bologna,Vitória Guimarães SC,False
fm_11041,tm_10816,Bughrahan Iskandar,2000-08-11,Florian Kleinhansl,2000-08-11,CHN,Germany,CZ Mighty Lions,VfL Osnabrück,False
fm_2981,tm_5081,Conor Noß,2001-01-01,Júnior Reis,2001-01-14,IRL,Brazil,Borussia M'gladbach,FC Famalicão,False
fm_7994,tm_7503,Jordan Akwasingi,2004-08-24,Jordan Amissah,2001-08-02,SUI,Ghana,Lazio,Sheffield United,False
fm_17953,tm_8352,Mousslim Youssouf,2006-01-09,Mohamed Youssouf,1988-03-26,FRA,Comoros,OGC Nice,AC Ajaccio,False
fm_7497,tm_7832,Onofrio Cristian Poerio,2005-06-28,Tom Bischof,2005-06-28,ITA,Germany,Sampdoria,TSG 1899 Hoffenheim,False
fm_17457,tm_3774,Lilian Bonnin,2006-04-28,Milan Corryn,1999-04-04,FRA,Belgium,Niort,Almere City FC,False
fm_7842,tm_9073,Yuri Maset,2005-05-02,Marcus Pacurar,2005-05-02,ITA,Romania,Torino,Feralpisalò,False
fm_17348,tm_10305,Sami Belachqer,2006-01-21,Zak Baker,2006-01-27,FRA,England,FCSM,Plymouth Argyle,False
fm_1635,tm_9361,George Asomani,1999-03-26,Sergio Lozano,1999-03-24,GHA,Spain,San Jose,Levante UD,False
fm_8639,tm_5855,Paolo Raimondi,2005-05-14,Noah Lahmadi,2005-01-05,ITA,France,Parma,FC Toulouse,False
fm_9077,tm_7190,Tamás Galántai,2006-01-05,Lewis Miley,2006-05-01,HUN,England,Torino,,False
fm_5510,tm_10187,Paul Kühnhardt,2005-09-10,Paul Smyth,1997-09-10,GER,Northern Ireland,RB Leipzig,Queens Park Rangers,False
fm_2411,tm_10002,Gaël Ondoua,1995-11-04,Callum O'Dowda,1995-04-23,CMR,Ireland,Hannover,Cardiff City,False
fm_10843,tm_2849,Yuwen Jiangong,2003-01-04,Junqiang Wang,2003-01-15,CHN,China,Changchun,Shanghai Shenhua,False
fm_9897,tm_6669,Oğuzhan Yılmaz,2003-06-17,Chadi Riad,2003-06-17,TUR,Morocco,Kasımpaşa,FC Barcelona,False
fm_11425,tm_3249,Hwang Hee-Chan,1996-01-26,Rong Chen,2001-01-26,KOR,China,Wolves,Dalian Professional,False
fm_17725,tm_4065,Colas Chastang,2005-01-15,Lucas Noubi,2005-01-15,FRA,Belgium,Clermont,Standard Liège,False
fm_5870,tm_4165,Moritz Baum,2004-05-28,Adedire Mebude,2004-05-28,GER,Scotland,SC Verl,KVC Westerlo,False
fm_3006,tm_10764,Chima Okoroji,1997-04-19,Thore Jacobsen,1997-04-19,ENG,Germany,Sandhausen,SV 07 Elversberg,False
fm_8330,tm_8307,Lamine Gningue,2004-08-14,Lamine Gueye,1998-03-13,SEN,Senegal,Parthenope,Paris FC,False
fm_1856,tm_7236,Vladimír Darida,1990-08-08,Vladimir Coufal,1992-08-22,CZE,Czech Republic,Hertha Berlin,West Ham United,False
fm_9692,tm_8853,Metehan Mimaroğlu,1994-07-07,Mattia Maita,1994-07-29,TUR,Italy,Ümraniyespor,SSC Bari,False
fm_13187,tm_1605,Faruq Smith,2005-07-07,Brad Smith,1994-04-09,ENG,Australia,Nottm Forest,Houston Dynamo FC,False
fm_17676,tm_8484,Kévin Nkumu,2005-09-03,Kévin Boma,2002-11-20,FRA,Togo,Amiens SC,Rodez AF,False
fm_4421,tm_3587,Briek Van Hoorick,2005-12-28,Alec Van Hoorenbeeck,1998-12-30,BEL,Belgium,AA Gent,KV Mechelen,False
fm_8425,tm_4517,Emmanuele De Chiara,2006-02-21,Emmanuel Dennis,1997-11-15,ITA,Nigeria,Parthenope,Nottingham Forest,False
fm_17056,tm_9767,Karl Essoh,2004-01-08,Karl Darlow,1990-10-08,FRA,England,Paris FC,Leeds United,False
fm_17757,tm_1729,Kévin Njalle,2005-06-16,Robin Müller,2000-06-16,FRA,Germany,Dijon FCO,MSV Duisburg,False
fm_5328,tm_7149,Leander Popp,2005-06-26,Ashley Phillips,2005-06-26,GER,England,Hertha Berlin,Tottenham Hotspur,False
fm_10252,tm_3162,Yin Hongbo,1989-10-30,Hongbo Yin,1989-10-30,CHN,China,Meizhou,Meizhou Hakka,False
fm_13621,tm_9895,Yusuf Akhamrich,2005-09-05,Bora Aydinlik,2005-05-09,ENG,Turkey,Tottenham,,False
fm_8301,tm_4769,Matteo Montecolle,2005-07-06,Mame Mor Faye,2005-07-12,ITA,Senegal,Ternana,Caykur Rizespor,False
fm_9104,tm_1905,Ştefan Tudor,2005-06-10,Stefano Russo,2000-06-29,ROU,Germany,Genoa,FC Viktoria Köln,False
fm_5981,tm_3667,Nick Graupner,2005-02-28,Dirk Proper,2002-02-24,GER,Netherlands,Union Berlin,NEC Nijmegen,False
fm_12573,tm_9719,Connor McAvoy,2002-02-16,Conor Coady,1993-02-25,SCO,England,Fulham,Leicester City,False
fm_15862,tm_5778,Joris Sainati,1988-09-25,Joris Chotard,2001-09-24,FRA,France,SC Bastia,Montpellier HSC,False
fm_4584,tm_4343,Filippo Matteo Niemetz,2004-04-17,Matte Smets,2004-01-04,GER,Belgium,Arminia Bielefeld,Sint-Truidense VV,False
fm_17255,tm_9964,Noah Vandenbossche,2004-09-07,Rav van den Berg,2004-07-07,FRA,Netherlands,AJ Auxerre,Middlesbrough FC,False
fm_12364,tm_1199,Mauro Bandeira,2003-11-18,Jamiro Monteiro,1993-11-23,POR,Cape Verde,Arsenal,San Jose Earthquakes,False
fm_10051,tm_4532,Samir Memisevic,1993-08-13,Amir Feratovic,2002-06-08,BIH,Slovenia,Beijing,Adana Demirspor,False
fm_11764,tm_1031,Benik Afobe,1993-02-12,José Antonio Martínez,1993-02-12,COD,Spain,Millwall,FC Dallas,False
fm_10842,tm_2891,Zhang Jingxiang,2001-03-18,Zhipeng Jiang,1989-03-06,CHN,China,CZ Mighty Lions,Wuhan Three Towns,False
fm_14441,tm_10630,Terence Kongolo,1994-02-14,Terrence Boyd,1991-02-16,NED,United States,Havre AC,1.FC Kaiserslautern,False
fm_5785,tm_7827,Dustin Strobach,2005-11-28,Anton Stach,1998-11-15,GER,Germany,Magdeburg,TSG 1899 Hoffenheim,False
fm_13407,tm_1899,Matt Dibley-Dias,2003-10-29,David Kubatta,2003-10-29,ENG,Germany,Fulham,FC Viktoria Köln,False
fm_7057,tm_5780,Alwande Roaldsøy,2004-06-09,Khalil Fayad,2004-06-09,NOR,France,Atalanta,Montpellier HSC,False
fm_4887,tm_4832,Isma Baraze Adam,2005-01-01,Demir Saricali,2005-01-01,GER,Turkey,St. Pauli,Hatayspor,False
fm_9703,tm_8953,Ermir Lenjani,1989-08-05,Eric Lanini,1994-02-25,ALB,Italy,Ümraniyespor,Parma Calcio 1913,False
fm_8838,tm_1905,Santi Russo,2004-03-31,Stefano Russo,2000-06-29,ITA,Germany,Reggina,FC Viktoria Köln,False
fm_5546,tm_7559,Yoost Diezemann,2004-04-02,Tom Hülsmann,2004-04-11,GER,Germany,Kiel,Bayern Munich,False
fm_5351,tm_3444,Tyrique Mercera,2003-12-19,Karim Benzema,1987-12-19,NED,France,SC Cambuur,Al-Ittihad Club,False
fm_12465,tm_3653,Odel Offiah,2002-10-26,Fodé Fofana,2002-10-26,ENG,Netherlands,Brighton,,False
fm_4698,tm_7184,Olivier van Zijl,2006-05-20,Javier Manquillo,1994-05-05,NED,Spain,FC Utrecht,Newcastle United,False
fm_9209,tm_8890,Vincenzo Giuseppe Raia,2006-08-04,Vincenzo Garofalo,1999-08-08,ITA,Italy,Brescia,Brescia Calcio,False
fm_8488,tm_5334,Loukas Mavrommatis,2006-07-04,Lucas Flores,2002-07-04,GRE,Brazil,Cremonese,Rio Ave FC,False
fm_4657,tm_2754,Naoufal Abdelwajid,2006-01-05,Daouda Beleme,2001-01-05,NED,Burkina Faso,FC Utrecht,Hamburger SV,False
fm_17322,tm_5846,Ebroni Gnoan,2005-04-18,Christian Mawissa Elebi,2005-04-18,FRA,France,OGC Nice,FC Toulouse,False
fm_11670,tm_8829,Malachi Fagan-Walcott,2002-03-11,Mikael Egill Ellertsson,2002-03-11,ENG,Iceland,Tottenham,Venezia FC,False
fm_5342,tm_4143,Sem Langendonk,2005-01-07,Koen Van Langendonck,1989-06-09,NED,Belgium,Go Ahead Eagles,KVC Westerlo,False
fm_11224,tm_2323,Sun Zixuan,2000-04-22,Saud Zidan,1999-11-16,CHN,Saudi Arabia,Tianjin,Al-Fayha FC,False
fm_11009,tm_3122,Xiong Guohong,2003-03-01,Xiangshuo Zhang,2001-06-22,CHN,China,DL Pro,Cangzhou Mighty Lions,False
fm_17821,tm_2131,Timothé Viel,2006-05-19,Timothy Tillman,1999-01-04,FRA,United States,AC Ajaccio,Los Angeles FC,False
fm_16637,tm_3319,Hugo De Mateo,2005-05-25,Morelatto,1994-05-25,ESP,Brazil,Valencia,Nantong Zhiyun,False
fm_9730,tm_9597,Berk Yıldız,1996-01-09,Derick Poloni,1993-09-01,TUR,Brazil,Adana D.S.,CD Eldense,False
fm_10758,tm_5208,Huang Kaizhou,2002-05-13,Roan Wilson,2002-05-01,CHN,Costa Rica,Guangzhou,Gil Vicente FC,False
fm_11228,tm_3073,Zhang Wenxuan,2004-08-23,Chao Fan,2004-02-08,CHN,China,Guangzhou,Changchun Yatai,False
fm_12210,tm_3421,Teddy Sharman-Lowe,2003-03-30,Turki Al-Jaadi,2003-03-30,ENG,Saudi Arabia,Chelsea,Al-Ittihad Club,False
fm_7277,tm_1336,Bob Omoregbe,2003-11-05,Moses Nyeman,2003-11-05,ITA,United States,Milan,,False
fm_8035,tm_9544,Yoan Atanasov Bornosuzov,2004-01-09,Stefan Lekovic,2004-01-09,BUL,Serbia,Genoa,,False
fm_7932,tm_2847,Giacomo Giuseppe Speroni,2005-02-20,Haoran Liu,2005-02-20,ITA,China,Brianza,Shanghai Shenhua,False
fm_8245,tm_1451,Brian Pietroluongo,2005-03-11,Jack Neeley,2005-03-11,ITA,United States,Perugia,Charlotte FC,False
fm_8007,tm_5900,Buddhiman Jacopo Pandini,2005-09-23,Yoni Gomis,2005-09-23,ITA,France,Brescia,Le Havre AC,False
fm_10545,tm_2996,Zhong Haoran,1994-07-15,Yu Dong,1994-07-15,CHN,China,Zhejiang,Zhejiang FC,False
fm_5745,tm_5192,Djaro Mulder,2005-12-28,Ricardo Ferreira,2005-12-10,NED,Portugal,Fortuna Sittard,,False
fm_9934,tm_9855,Muhayer Oktay,1999-04-28,Nathanael Ogbeta,2001-04-28,TUR,England,Beşiktaş,Swansea City,False
