"RecordIDS","AverageConsistency","Birthdate-Consistency","Birthdate-Values","Club-Consistency","Club-Values","Jersey_number-Consistency","Jersey_number-Values","Name-Consistency","Name-Values","Nationality-Consistency","Nationality-Values","Height-Consistency","Height-Values","Weight-Consistency","Weight-Values"
"eafc_9891+tm_7870","0.7142857142857143","1.0","{2002-03-01T00:00|2002-03-01T00:00}","1.0","{FC Augsburg|FC Augsburg}","0.0","{7|7}","0.0","{D. Beljo|Dion Beljo}","1.0","{Croatia|Croatia}","1.0","{195.0}","1.0","{84.0}"
"eafc_2727+fm_1147+tm_1379","0.47619047619047616","1.0","{1994-03-28T00:00|1994-03-22T00:00|1994-03-28T00:00}","0.0","{Minnesota United|New England|Minnesota United FC}","0.0","{18|18}","0.6666666666666666","{I. Tajouri-Shradi|Ismael Tajouri-Shradi|Ismael Tajouri-Shradi}","0.6666666666666666","{Libya|LBY|Libya}","0.0","{170.0|168.0}","1.0","{64.0|64.0}"
"eafc_2633+fm_2068","0.42857142857142855","1.0","{1994-01-31T00:00|1994-01-31T00:00}","0.0","{FSV Mainz 05|Mainz 05}","1.0","{31}","0.0","{D. Kohr|Dominik Kohr}","0.0","{Germany|GER}","1.0","{183.0|183.0}","0.0","{80.0|77.0}"
"eafc_5852+fm_1246+tm_1504","0.619047619047619","1.0","{1991-12-28T00:00|1991-12-28T00:00|1991-12-28T00:00}","0.0","{New York RB|Philadelphia|New York Red Bulls}","0.0","{7|7}","0.6666666666666666","{C. Burke|Cory Burke|Cory Burke}","0.6666666666666666","{Jamaica|JAM|Jamaica}","1.0","{191.0|191.0}","1.0","{82.0|82.0}"
"eafc_6005+fm_2725+tm_7699","0.3333333333333333","1.0","{1998-07-22T00:00|1998-07-22T00:00|1998-07-22T00:00}","0.0","{FC Union Berlin|Union Berlin|1.FC Union Berlin}","0.0","{3|3}","0.6666666666666666","{P. Jaeckel|Paul Jaeckel|Paul Jaeckel}","0.6666666666666666","{Germany|GER|Germany}","0.0","{186.0|189.0}","0.0","{83.0|84.0}"
"eafc_5089+fm_16017+tm_8112","0.3333333333333333","1.0","{1998-01-26T00:00|1998-01-26T00:00|1998-01-26T00:00}","0.0","{Saint-Étienne|Nîmes|AS Saint-Étienne}","0.0","{26|26}","0.6666666666666666","{L. Fomba|Lamine Fomba|Lamine Fomba}","0.6666666666666666","{France|FRA|France}","0.0","{188.0|185.0}","0.0","{68.0|65.0}"
"eafc_8043+fm_16248+tm_5741","0.47619047619047616","1.0","{2001-01-02T00:00|2001-01-02T00:00|2001-01-02T00:00}","0.0","{Lorient|Amiens SC|FC Lorient}","0.0","{13|13}","0.6666666666666666","{F. Mendy|Formose Mendy|Formose Mendy}","0.6666666666666666","{Senegal|SEN|Senegal}","1.0","{191.0|191.0}","0.0","{79.0|76.0}"
"eafc_3508+fm_6283+tm_4799","0.47619047619047616","1.0","{1992-08-10T00:00|1992-08-10T00:00|1992-08-10T00:00}","0.0","{Fatih Karagümrük|Verona|Hellas Verona}","0.0","{15|15}","0.6666666666666666","{K. Lasagna|Kevin Lasagna|Kevin Lasagna}","0.6666666666666666","{Italy|ITA|Italy}","0.0","{186.0|181.0}","1.0","{80.0|80.0}"
"eafc_11608+tm_3069","0.5714285714285714","1.0","{2000-09-01T00:00|2000-09-01T00:00}","1.0","{Changchun Yatai|Changchun Yatai}","0.0","{18|18}","0.0","{M. Memet-Ali|Memet-Raim Memet-Ali}","0.0","{China PR|China}","1.0","{173.0}","1.0","{74.0}"
"eafc_1873+fm_11463+tm_9719","0.7142857142857143","1.0","{1993-02-25T00:00|1993-02-25T00:00|1993-02-25T00:00}","0.6666666666666666","{Leicester City|Everton|Leicester City}","0.0","{4|4}","0.6666666666666666","{C. Coady|Conor Coady|Conor Coady}","0.6666666666666666","{England|ENG|England}","1.0","{186.0|186.0}","1.0","{80.0|80.0}"
"eafc_1835+fm_6208+tm_6146","0.7142857142857143","1.0","{1992-09-01T00:00|1992-09-01T00:00|1992-09-01T00:00}","0.6666666666666666","{Fiorentina|Fiorentina|ACF Fiorentina}","0.0","{3|3}","0.6666666666666666","{C. Biraghi|Cristiano Biraghi|Cristiano Biraghi}","0.6666666666666666","{Italy|ITA|Italy}","1.0","{185.0|185.0}","1.0","{78.0|78.0}"
"eafc_6916+fm_1181+tm_1085","0.3333333333333333","1.0","{1999-08-07T00:00|1999-08-07T00:00|1999-08-07T00:00}","0.6666666666666666","{LA Galaxy|LA Galaxy|Los Angeles Galaxy}","0.0","{9|9}","0.0","{D. Joveljić|Dejan Joveljić|Dejan Joveljic}","0.6666666666666666","{Serbia|SRB|Serbia}","0.0","{181.0|182.0}","0.0","{75.0|76.0}"
"eafc_11333+fm_10061","0.42857142857142855","1.0","{1991-11-19T00:00|1991-11-19T00:00}","0.0","{Shanghai Port|SH Port}","1.0","{7}","1.0","{Wu Lei|Wu Lei}","0.0","{China PR|CHN}","0.0","{176.0|174.0}","0.0","{68.0|66.0}"
"eafc_7851+fm_16257+tm_5500","0.47619047619047616","1.0","{2002-05-15T00:00|2002-05-15T00:00|2002-05-15T00:00}","0.0","{Monaco|FC Lorient|AS Monaco}","0.0","{34|34}","0.6666666666666666","{C. Matsima|Chrislain Matsima|Chrislain Matsima}","0.6666666666666666","{France|FRA|France}","1.0","{193.0|193.0}","0.0","{80.0|87.0}"
"eafc_2905+tm_3746","0.7142857142857143","1.0","{1996-06-18T00:00|1996-06-18T00:00}","1.0","{Fortuna Sittard|Fortuna Sittard}","0.0","{10|10}","0.0","{A. Halilović|Alen Halilovic}","1.0","{Croatia|Croatia}","1.0","{169.0}","1.0","{69.0}"
"eafc_7500+fm_6826+tm_6386","0.3333333333333333","1.0","{2001-10-11T00:00|2001-10-11T00:00|2001-10-11T00:00}","0.0","{Empoli|Spezia|AC Milan}","0.0","{27|27}","0.6666666666666666","{D. Maldini|Daniel Maldini|Daniel Maldini}","0.6666666666666666","{Italy|ITA|Italy}","0.0","{185.0|181.0}","0.0","{66.0|74.0}"
"eafc_10879+fm_4001+tm_2652","0.4285714285714285","1.0","{2004-01-26T00:00|2004-01-26T00:00|2004-01-26T00:00}","0.6666666666666666","{Borussia Dortmund II|Borussia Dortmund|Borussia Dortmund II}","0.0","{28|28}","0.6666666666666666","{J. Husseck|Jonah Husseck|Jonah Husseck}","0.6666666666666666","{Germany|GER|Germany}","0.0","{188.0|186.0}","0.0","{78.0|77.0}"
"eafc_6452+eafc_6951+fm_15797+fm_6944+tm_8804+tm_9535","0.2857142857142857","1.0","{1998-12-11T00:00|1998-12-16T00:00}","0.0","{Burgos|Como}","1.0","{10}","0.0","{Álex Bermejo|Álex Blanco}","0.0","{Spain|ESP}","0.0","{183.0|175.0}","0.0","{76.0|70.0}"
"eafc_6802+fm_16096+tm_8290","0.7142857142857143","1.0","{1999-02-06T00:00|1999-02-06T00:00|1999-02-06T00:00}","0.6666666666666666","{Paris|Paris FC|Paris FC}","0.0","{31|31}","0.6666666666666666","{S. Chergui|Samir Chergui|Samir Chergui}","0.6666666666666666","{France|FRA|France}","1.0","{185.0|185.0}","1.0","{78.0|78.0}"
"eafc_3180+tm_4611","0.5714285714285714","1.0","{1995-03-09T00:00|1995-03-09T00:00}","1.0","{Antalyaspor|Antalyaspor}","0.0","{20|20}","0.0","{D. Milošević|Deni Milosevic}","0.0","{Bosnia and Herzegovina|Bosnia-Herzegovina}","1.0","{182.0}","1.0","{73.0}"
"eafc_1042+fm_1919+tm_4141","0.4285714285714285","1.0","{1988-09-03T00:00|1988-09-03T00:00|1988-09-03T00:00}","0.6666666666666666","{Westerlo|Westerlo|KVC Westerlo}","0.0","{1|1}","0.6666666666666666","{S. Bolat|Sinan Bolat|Sinan Bolat}","0.6666666666666666","{Turkey|TUR|Turkey}","0.0","{186.0|188.0}","0.0","{83.0|77.0}"
"eafc_5411+fm_6507+tm_6331","0.4285714285714285","1.0","{2000-01-10T00:00|2000-01-10T00:00|2000-01-10T00:00}","0.6666666666666666","{Salernitana|Salernitana|US Salernitana 1919}","0.0","{11|11}","0.6666666666666666","{E. Botheim|Erik Botheim|Erik Botheim}","0.6666666666666666","{Norway|NOR|Norway}","0.0","{187.0|183.0}","0.0","{70.0|80.0}"
"eafc_1051+fm_14393+tm_5523","0.5714285714285714","1.0","{1985-03-28T00:00|1985-03-28T00:00|1985-03-28T00:00}","0.6666666666666666","{Rennes|Rennes|Stade Rennais FC}","0.0","{30|30}","0.6666666666666666","{S. Mandanda|Steve Mandanda|Steve Mandanda}","0.6666666666666666","{France|FRA|France}","0.0","{187.0|185.0}","1.0","{82.0|82.0}"
"eafc_4971+fm_11750+tm_7275","0.5714285714285714","1.0","{2000-01-27T00:00|2000-01-27T00:00|2000-01-27T00:00}","0.6666666666666666","{Nottingham Forest|Nottm Forest|Nottingham Forest}","0.0","{10|10}","0.6666666666666666","{M. Gibbs-White|Morgan Gibbs-White|Morgan Gibbs-White}","0.6666666666666666","{England|ENG|England}","1.0","{178.0|178.0}","0.0","{70.0|72.0}"
"eafc_1524+fm_12147+tm_10148","0.7142857142857143","1.0","{1990-11-23T00:00|1990-11-23T00:00|1990-11-23T00:00}","0.6666666666666666","{Millwall|Millwall|Millwall FC}","0.0","{4|4}","0.6666666666666666","{S. Hutchinson|Shaun Hutchinson|Shaun Hutchinson}","0.6666666666666666","{England|ENG|England}","1.0","{188.0|188.0}","1.0","{80.0|80.0}"
"eafc_9930+tm_3725","0.5714285714285714","1.0","{2001-05-28T00:00|2001-05-28T00:00}","0.0","{Excelsior|Excelsior Rotterdam}","0.0","{30|30}","0.0","{D. Sanches Fernandes|Derensili Sanches Fernandes}","1.0","{Netherlands|Netherlands}","1.0","{178.0}","1.0","{74.0}"
"eafc_10040+fm_18119+fm_18230+fm_7997+tm_6894","0.34285714285714286","1.0","{2003-08-29T00:00|2003-08-13T00:00|2003-08-29T00:00|2003-02-07T00:00|2003-08-29T00:00}","0.4","{Rayo Vallecano|Las Palmas|Vallecano|Modena|Rayo Vallecano}","0.0","{29|29}","0.6","{Diego Méndez|Diego Martín|Diego Méndez|Diego Mordini|Diego Méndez}","0.4","{Spain|ESP|ESP|ITA|Spain}","0.0","{182.0|178.0|189.0|175.0}","0.0","{75.0|68.0|79.0|70.0}"
"eafc_2573+fm_1876+tm_4385","0.7142857142857143","1.0","{1993-07-03T00:00|1993-07-03T00:00|1993-07-03T00:00}","0.6666666666666666","{Galatasaray|Bayer 04|Galatasaray}","0.0","{8|8}","0.6666666666666666","{K. Demirbay|Kerem Demirbay|Kerem Demirbay}","0.6666666666666666","{Germany|GER|Germany}","1.0","{183.0|183.0}","1.0","{75.0|75.0}"
"eafc_1689+fm_14879+tm_6922","0.7619047619047619","1.0","{1992-10-15T00:00|1992-10-15T00:00|1992-10-15T00:00}","0.6666666666666666","{Cádiz|Cádiz|Cádiz CF}","0.0","{8|8}","1.0","{Álex Fernández|Álex Fernández|Álex Fernández}","0.6666666666666666","{Spain|ESP|Spain}","1.0","{182.0|182.0}","1.0","{72.0|72.0}"
"eafc_1663+fm_14809+tm_9224","0.6666666666666666","1.0","{1989-01-06T00:00|1989-01-06T00:00|1989-01-06T00:00}","0.0","{Elche|Valladolid|Elche CF}","0.0","{9|9}","1.0","{Sergio León|Sergio León|Sergio León}","0.6666666666666666","{Spain|ESP|Spain}","1.0","{178.0|178.0}","1.0","{73.0|73.0}"
"eafc_1722+fm_14480+tm_5709","0.5714285714285714","1.0","{1992-02-26T00:00|1992-02-26T00:00|1992-02-26T00:00}","0.6666666666666666","{Strasbourg|Strasbourg|RC Strasbourg Alsace}","0.0","{1|1}","0.6666666666666666","{M. Sels|Matz Sels|Matz Sels}","0.6666666666666666","{Belgium|BEL|Belgium}","0.0","{188.0|191.0}","1.0","{75.0|75.0}"
"eafc_1828+fm_6248","0.5714285714285714","1.0","{1990-05-06T00:00|1990-05-06T00:00}","0.0","{Venezia|Brianza}","1.0","{9}","0.0","{C. Gytkjær|Christian Gytkjær}","0.0","{Denmark|DEN}","1.0","{185.0|185.0}","1.0","{77.0|77.0}"
"eafc_10444+tm_9672","0.8571428571428571","1.0","{2001-12-13T00:00|2001-12-13T00:00}","1.0","{Racing Ferrol|Racing Ferrol}","0.0","{18|18}","1.0","{Brais Martínez|Brais Martínez}","1.0","{Spain|Spain}","1.0","{175.0}","1.0","{70.0}"
"eafc_11196+tm_8927","0.5714285714285714","1.0","{2001-06-06T00:00|2001-06-06T00:00}","0.0","{Reggiana|AC Reggiana 1919}","0.0","{1|1}","0.0","{A. Sposito|Alex Sposito}","1.0","{Italy|Italy}","1.0","{193.0}","1.0","{88.0}"
"eafc_4840+fm_15003+tm_9925","0.5714285714285714","1.0","{1998-12-27T00:00|1998-12-27T00:00|1998-12-27T00:00}","0.6666666666666666","{West Bromwich Albion|Bordeaux|West Bromwich Albion}","0.0","{9|9}","0.6666666666666666","{J. Maja|Josh Maja|Josh Maja}","0.6666666666666666","{Nigeria|NGA|Nigeria}","1.0","{181.0|181.0}","0.0","{76.0|74.0}"
"eafc_9834+fm_7322+tm_8830","0.47619047619047616","1.0","{2000-07-28T00:00|2000-07-28T00:00|2000-07-28T00:00}","0.0","{Venezia|Cagliari|Venezia FC}","0.0","{24|24}","0.6666666666666666","{N. Lella|Nunzio Lella|Nunzio Lella}","0.6666666666666666","{Italy|ITA|Italy}","0.0","{188.0|186.0}","1.0","{75.0|75.0}"
"eafc_7614+fm_1896+tm_7782","0.7142857142857143","1.0","{1999-02-07T00:00|1999-02-07T00:00|1999-02-07T00:00}","0.6666666666666666","{Eintracht Frankfurt|VfL Wolfsburg|Eintracht Frankfurt}","0.0","{7|7}","0.6666666666666666","{O. Marmoush|Omar Marmoush|Omar Marmoush}","0.6666666666666666","{Egypt|EGY|Egypt}","1.0","{183.0|183.0}","1.0","{81.0|81.0}"
"eafc_8746+fm_1497+tm_2213","0.3333333333333333","1.0","{2005-08-05T00:00|2005-08-05T00:00|2005-08-05T00:00}","0.0","{Seattle Sounders|Seattle|Seattle Sounders FC}","0.0","{73|73}","0.6666666666666666","{O. Vargas|Obed Vargas|Obed Vargas}","0.6666666666666666","{United States|USA|United States}","0.0","{175.0|176.0}","0.0","{68.0|71.0}"
"eafc_5686+fm_11532+tm_7117","0.38095238095238093","1.0","{1998-11-23T00:00|1998-11-23T00:00|1998-11-23T00:00}","0.6666666666666666","{Liverpool|Liverpool|Liverpool FC}","0.0","{62|62}","0.0","{C. Kelleher|Caoimhin Kelleher|Caoimhín Kelleher}","0.0","{Republic of Ireland|IRL|Ireland}","1.0","{188.0|188.0}","0.0","{74.0|82.0}"
"eafc_5111+fm_1358+tm_1529","0.3333333333333333","1.0","{2000-06-05T00:00|2000-07-05T00:00|2000-07-05T00:00}","0.0","{Chicago Fire|Chicago|Chicago Fire FC}","0.0","{20|20}","0.6666666666666666","{J. Torres|Jairo Torres|Jairo Torres}","0.6666666666666666","{Mexico|MEX|Mexico}","0.0","{170.0|169.0}","0.0","{71.0|58.0}"
"eafc_1975+fm_14745+tm_6888","0.7142857142857143","1.0","{1992-01-01T00:00|1992-01-01T00:00|1992-01-01T00:00}","0.6666666666666666","{Rayo Vallecano|Vallecano|Rayo Vallecano}","0.0","{20|20}","0.6666666666666666","{I. Balliu|Iván Balliu|Iván Balliu}","0.6666666666666666","{Albania|ALB|Albania}","1.0","{172.0|172.0}","1.0","{63.0|63.0}"
"eafc_9513+fm_3494+tm_2653","0.619047619047619","1.0","{2004-04-23T00:00|2004-04-23T00:00|2004-04-23T00:00}","1.0","{Borussia Dortmund II|Borussia Dortmund II|Borussia Dortmund II}","0.0","{39|39}","0.6666666666666666","{P. Aning|Prince Aning|Prince Aning}","0.6666666666666666","{Netherlands|NED|Netherlands}","1.0","{176.0|176.0}","0.0","{71.0|69.0}"
"eafc_2371+fm_11240+tm_7138","0.5714285714285714","1.0","{1992-06-15T00:00|1992-06-15T00:00|1992-06-15T00:00}","0.6666666666666666","{Liverpool|Liverpool|Liverpool FC}","0.0","{11|11}","0.6666666666666666","{M. Salah|Mohamed Salah|Mohamed Salah}","0.6666666666666666","{Egypt|EGY|Egypt}","1.0","{175.0|175.0}","0.0","{71.0|72.0}"
"eafc_11428+fm_10495","0.5714285714285714","1.0","{1990-02-02T00:00|1990-02-02T00:00}","1.0","{Henan|Henan}","1.0","{19}","1.0","{Wang Guoming|Wang Guoming}","0.0","{China PR|CHN}","0.0","{187.0|185.0}","0.0","{81.0|80.0}"
"eafc_3867+tm_10226","0.7142857142857143","1.0","{1997-08-15T00:00|1997-08-15T00:00}","1.0","{Ipswich Town|Ipswich Town}","0.0","{4|4}","0.0","{G. Edmundson|George Edmundson}","1.0","{England|England}","1.0","{190.0}","1.0","{80.0}"
"eafc_2354+tm_10246","0.7142857142857143","1.0","{1993-02-01T00:00|1993-02-01T00:00}","1.0","{Ipswich Town|Ipswich Town}","0.0","{9|9}","0.0","{F. Ladapo|Freddie Ladapo}","1.0","{England|England}","1.0","{185.0}","1.0","{79.0}"
"eafc_3001+fm_11865+tm_10251","0.619047619047619","1.0","{1995-09-09T00:00|1995-09-09T00:00|1995-09-09T00:00}","0.6666666666666666","{Huddersfield Town|Huddersfield|Huddersfield Town}","0.0","{5|5}","0.0","{M. Helik|Michał Helik|Michal Helik}","0.6666666666666666","{Poland|POL|Poland}","1.0","{191.0|191.0}","1.0","{80.0|80.0}"
"eafc_6278+fm_15983+tm_5828","0.4285714285714285","1.0","{1998-05-30T00:00|1998-05-30T00:00|1998-05-30T00:00}","0.6666666666666666","{Brest|Brest|Stade Brestois 29}","0.0","{8|8}","0.6666666666666666","{H. Magnetti|Hugo Magnetti|Hugo Magnetti}","0.6666666666666666","{France|FRA|France}","0.0","{180.0|172.0}","0.0","{75.0|74.0}"
"eafc_11486+fm_10644","0.7142857142857143","1.0","{1999-01-02T00:00|1999-01-02T00:00}","0.0","{Shanghai Shenhua|SH Shenhua}","1.0","{38}","1.0","{Wen Jiabao|Wen Jiabao}","0.0","{China PR|CHN}","1.0","{177.0|177.0}","1.0","{65.0|65.0}"
"eafc_10074+tm_2201","0.5714285714285714","1.0","{1999-12-18T00:00|1999-12-18T00:00}","0.0","{Seattle Sounders|Seattle Sounders FC}","0.0","{91|29}","0.0","{J. Castro|Jacob Castro}","1.0","{United States|United States}","1.0","{193.0}","1.0","{86.0}"
"eafc_3699+fm_2377+tm_3458","0.47619047619047616","1.0","{1996-03-07T00:00|1996-03-07T00:00|1996-03-07T00:00}","0.0","{Feyenoord|Union SG|Feyenoord Rotterdam}","0.0","{2|2}","0.6666666666666666","{B. Nieuwkoop|Bart Nieuwkoop|Bart Nieuwkoop}","0.6666666666666666","{Netherlands|NED|Netherlands}","1.0","{181.0|181.0}","0.0","{75.0|70.0}"
"eafc_11121+tm_3668","0.5714285714285714","1.0","{2003-09-25T00:00|2003-09-25T00:00}","0.0","{NEC|NEC Nijmegen}","0.0","{23|23}","0.0","{K. Sano|Kodai Sano}","1.0","{Japan|Japan}","1.0","{176.0}","1.0","{66.0}"
"eafc_2811+tm_1415","0.7142857142857143","1.0","{1993-10-06T00:00|1993-10-06T00:00}","1.0","{Sporting Kansas City|Sporting Kansas City}","0.0","{5|5}","0.0","{D. Rosero|Dany Rosero}","1.0","{Colombia|Colombia}","1.0","{187.0}","1.0","{87.0}"
"eafc_7167+fm_2188+tm_3460","0.47619047619047616","1.0","{1998-05-26T00:00|1998-05-26T00:00|1998-05-26T00:00}","0.0","{Feyenoord|FC Twente|Feyenoord Rotterdam}","0.0","{6|6}","0.6666666666666666","{R. Zerrouki|Ramiz Zerrouki|Ramiz Zerrouki}","0.6666666666666666","{Algeria|ALG|Algeria}","1.0","{183.0|183.0}","0.0","{72.0|79.0}"
"eafc_9426+tm_2072","0.5714285714285714","1.0","{2003-03-27T00:00|2003-03-27T00:00}","0.0","{Inter Miami|Inter Miami CF}","0.0","{8|8}","0.0","{D. Gómez|Diego Gómez}","1.0","{Paraguay|Paraguay}","1.0","{185.0}","1.0","{83.0}"
"eafc_4800+fm_2241+tm_7811","0.7619047619047619","1.0","{1994-07-10T00:00|1994-07-10T00:00|1994-07-10T00:00}","1.0","{SC Freiburg|SC Freiburg|SC Freiburg}","0.0","{9|9}","0.6666666666666666","{L. Höler|Lucas Höler|Lucas Höler}","0.6666666666666666","{Germany|GER|Germany}","1.0","{184.0|184.0}","1.0","{83.0|83.0}"
"eafc_3276+fm_15104+tm_6761","0.7619047619047619","1.0","{1997-07-09T00:00|1997-07-09T00:00|1997-07-09T00:00}","0.6666666666666666","{Celta de Vigo|Vigo|Celta de Vigo}","0.0","{13|13}","1.0","{Iván Villar|Iván Villar|Iván Villar}","0.6666666666666666","{Spain|ESP|Spain}","1.0","{189.0|189.0}","1.0","{76.0|76.0}"
"eafc_5562+fm_9568+tm_4851","0.619047619047619","1.0","{1992-01-19T00:00|1992-01-19T00:00|1992-01-19T00:00}","1.0","{Hatayspor|Hatayspor|Hatayspor}","0.0","{20|20}","0.6666666666666666","{R. Aabid|Rayane Aabid|Rayane Aabid}","0.6666666666666666","{France|FRA|France}","1.0","{178.0|178.0}","0.0","{71.0|73.0}"
"eafc_9405+tm_1299","0.5714285714285714","1.0","{2004-07-21T00:00|2004-07-21T00:00}","0.0","{Vancouver Whitecaps|Vancouver Whitecaps FC}","0.0","{50|50}","0.0","{M. Anchor|Max Anchor}","1.0","{Canada|Canada}","1.0","{191.0}","1.0","{74.0}"
"eafc_3299+fm_6729+tm_6444","0.619047619047619","1.0","{1996-09-16T00:00|1996-09-16T00:00|1996-09-16T00:00}","0.0","{Lecce|Salento|US Lecce}","0.0","{29|29}","0.6666666666666666","{A. Blin|Alexis Blin|Alexis Blin}","0.6666666666666666","{France|FRA|France}","1.0","{184.0|184.0}","1.0","{78.0|78.0}"
"eafc_5494+fm_3575+tm_1916","0.619047619047619","1.0","{1998-03-11T00:00|1998-03-11T00:00|1998-03-11T00:00}","0.0","{Viktoria Köln|SV Elversberg|FC Viktoria Köln}","0.0","{11|11}","0.6666666666666666","{V. Mustafa|Valdrin Mustafa|Valdrin Mustafa}","0.6666666666666666","{Kosovo|KOS|Kosovo}","1.0","{183.0|183.0}","1.0","{75.0|75.0}"
"eafc_8000+fm_3869+tm_4050","0.619047619047619","1.0","{2001-11-21T00:00|2001-11-21T00:00|2001-11-21T00:00}","0.0","{Gent|AA Gent|KAA Gent}","0.0","{18|18}","0.6666666666666666","{M. Samoise|Matisse Samoise|Matisse Samoise}","0.6666666666666666","{Belgium|BEL|Belgium}","1.0","{180.0|180.0}","1.0","{70.0|70.0}"
"eafc_4480+fm_6760+tm_8907","0.619047619047619","1.0","{1997-04-22T00:00|1997-04-22T00:00|1997-04-22T00:00}","0.0","{Modena|Frosinone|Modena FC}","0.0","{29|29}","0.6666666666666666","{M. Cotali|Matteo Cotali|Matteo Cotali}","0.6666666666666666","{Italy|ITA|Italy}","1.0","{177.0|177.0}","1.0","{72.0|72.0}"
"eafc_4522+tm_5140","0.5714285714285714","1.0","{1997-01-01T00:00|1997-01-01T00:00}","0.0","{Boavista|Boavista FC}","0.0","{5|5}","0.0","{C. Awaziem|Chidozie Awaziem}","1.0","{Nigeria|Nigeria}","1.0","{189.0}","1.0","{77.0}"
"eafc_1530+fm_2888+tm_10755","0.619047619047619","1.0","{1989-05-16T00:00|1989-05-16T00:00|1989-05-16T00:00}","0.0","{Elversberg|SV Elversberg|SV 07 Elversberg}","0.0","{13|13}","0.6666666666666666","{M. Correia|Marcel Correia|Marcel Correia}","0.6666666666666666","{Portugal|POR|Portugal}","1.0","{186.0|186.0}","1.0","{81.0|81.0}"
"eafc_6659+tm_3921","0.7142857142857143","1.0","{2000-09-07T00:00|2000-09-07T00:00}","1.0","{RKC Waalwijk|RKC Waalwijk}","0.0","{19|19}","0.0","{R. Margaret|Richonell Margaret}","1.0","{Netherlands|Netherlands}","1.0","{185.0}","1.0","{71.0}"
