"Blocking Key Value","Frequency"
"ZHCH,ZHHU,GACO,RAGA,DIGO,DILI,THBA,THCO,EMBA,EMDE,MUAL,EMMA,IS,KI,TICA,KOMA,TIGO,TO,WA,CHBA,CHDO,BEBA,BEHA,BEME,RUCA,FAMA,NIGO,NIJA,NIKR,NIPI,LUBR,JODA,LULI,JOHE,LUNE,JOHU,JOKI,JOLA,LUPO,JOKA,JOMI,LUSE,LUTO,LUWO,SIMA,JOSE,JOTO,JOWA,SISC,LECO,LECA,LEGR,DOBA,PAKA,MICO,PAWI,FEBA,FECA,FEPA,JAAL,TOAR,JADO,TOKR,GIGA,JASI,ÁLFE,TOSI,KEBO,KESC,DABU,YOBA,DAHE,WICA,DALO,DAMU,DAVE,DAWI,DAWE,DAWA,LIZH,PEPE,ERÖZ,JUKA,TAHA,JUME,JETO,ALBU,ALBR,ALCE,ALGA,MOMA,CRRO,CARO,NASA,DEDU,SACA,SAGI,HAKA,SASI,HAWI,ANFA,ANLI,BRBA,LOBA,MALI,LOMO,MANO,YUYA,MAZI,STMO","12"
"PAMA,ANPA","104"
"SAMA","11"
"RO,JOCO,MIMA,MAPO","98"
"STPE,SUAL,GACA,GACH,GAGA,RANA,GAVE,SESA,ED,MI,BEBE,ABAB,MEME,NILO,NIMU,NIPA,NIVA,SHLI,ADCA,JOAR,LURA,SICO,JOLO,JOPI,LUVI,LEFE,LEMO,PABE,PAHE,MIHA,MITR,FEMO,JAAN,JACL,TOMI,GISC,GIZA,KEHA,KEST,DAAD,DARE,DAQU,DAVI,ISSA,MODA,CAHA,ALFI,ALHA,SAGR,ROPI,ROPE,ANAL,RORO,SARI,SATO,MACR,MAGE,MAHU,MAKE,MAKI,MAMC,MARU","10"
"CH,MAGA","96"
"NEMA,DIBE,DIPA,SEBE,THHA,TYMI,EMBO,SEMO,LU,TIDI,TICI,TIGA,AARA,ENLO,BEGI,BELE,CHSC,CHTA,FRAN,ABSA,FACH,NIGI,NISC,GEHA,SHMA,JOAM,GEVA,JOCU,LUPA,KAMI,LUZA,JOWE,LEST,ERDI,MIBR,ERKA,DOMA,MIKA,JABI,JAKA,JANE,TOLA,GISI,KEAR,ÁLRO,AHHA,KEKA,KELA,KEPA,COBA,COCO,DAKA,DANE,DAPO,DARI,DASC,JUHE,FIAL,TASA,JEBA,JEMA,ISPA,ALFL,CAST,CAWI,AMHA,HAAK,SAAD,HADE,MIVADE,ROLE,SALA,ROMU,BRBR,MADU,BRGU,BRHE,MASY","9"
"ALAL,MALO","90"
"ZHWE,RABA,GABR,GABA,DIAB,ELCA,DICA,DIFA,GAPA,GASA,SEDA,THME,SEST,SERI,DI,KE,TICH,TIJA,TA,TIPA,TISC,BEBO,CHGR,MEDE,CHMC,BEKA,RUBO,NIBA,NIFA,FAPA,NILE,FRVI,LUGA,LUFE,KADO,KADE,LULA,KAKO,VAMA,JOJO,LURI,JOMC,MIBO,MIAN,PAVI,FEBE,BEÖZ,TOCO,TODA,TOBI,TOBO,JAFU,JAGO,GIDO,JALO,GICO,JAMI,ÁLBA,JARA,JARU,DAVADE,JAVE,ÁLMA,GISA,KEAK,DAAL,NOAL,DABI,DAJO,DALE,NOMU,DAZA,OSAL,JUGA,ISCO,ISHA,JESC,CABA,YACH,MOBO,YABE,ALES,ALFR,ALFA,ALGR,CANI,YALI,ALJA,MOMO,ALMC,ALVI,ALVA,AMAL,DEMA,SABU,SADI,ROFE,ROHA,ANAR,ROQU,HASA,HAWA,SAVI,ANGR,ANHA,ANMI,ANRI,ANTA,MAAG,MAAK,MAFU,BRPE,MAPH,YUZH","8"
"GIMA,DAMA,HAAL","85"
"AB,LUMI,LEPE,TOBE,JABU,DAST,ALGU,NAMO","7"
"JOBA,JOMO,MALE","84"
"JAMO,ALSA","80"
"MADI,MAME","78"
"ANBA,ANPE","77"
"ZHLI,HUCU,RACA,DIAL,RAKR,RAKO,ELKA,RAMO,DIMO,RATO,ELTA,THCA,SECO,SEDI,THKA,SEKO,SEKI,THMA,SEMI,SEGÜ,SELO,THSI,SEPO,AD,SERE,SERO,AR,ARCA,CO,CR,EL,EMTA,TIBA,KA,TIBE,EMUZ,MU,MUSA,KOKO,KOLA,SE,ARSI,TILE,LAST,WE,TIMA,TIKÖ,TIRE,TISI,BEGO,CHLO,RUAL,BESA,FRAM,FRFO,RUPA,FAKA,NIDO,FAMI,FRRO,FATO,NIMO,NIZA,ADAR,LUCU,LUBU,LUGE,KABE,JOBI,LUKO,LUMU,JOHA,JOFO,KAHA,KAKA,JOJA,SIDE,ADRA,JOMU,JOLU,ADSA,VAMI,LUVE,KASI,JORA,JOTH,JOSH,SIOS,SIPA,JOWO,LEJO,LELO,LEOP,LETR,ERDE,LEWA,PACI,PACH,ERER,DOKO,PAPO,PATO,PASO,PAST,MISV,MIRI,FEAN,RYLE,RYMA,FEVA,JACH,JAEL,TODO,GIBA,JANI,GIFA,ÁLBE,JATH,TORA,RILE,JAVA,RIME,TOSU,TOVA,TOVI,RIPE,RIRO,KEBA,ÁLVA,KESE,KERO,DRCA,YOCA,DAFE,DAGI,DAGA,DAFU,DAJE,LICA,DAKO,DAMC,ZAMA,EDSO,DASO,AIMA,LIMA,PEAL,PECH,JUAR,JUBI,JUDE,PEVI,JUGR,TABO,JUFA,SOAL,JUHA,TABU,JUHO,SODI,JURE,JURI,IBCI,JELE,IBKO,JESA,CAAL,YAAL,NABI,CABR,CABO,BOBA,CACH,CADO,NACH,MODJ,NAFE,MOCH,MOCA,ALBI,CAHE,NAHA,MOFO,ALCI,YAKA,MOKO,NAMA,NAME,GÖGÜ,ALMU,CAVI,PHHE,DEDI,AMBO,AMDI,PHSC,HAAR,ROAL,SACH,HADI,SAES,ROBR,ROGU,GOGU,ROJA,PIBO,ROIB,PICA,ROKO,SALO,FLKA,RORE,PILE,ROTA,ANBU,ANDO,PIPE,FLTA,ANGI,ROZI,ROYA,IVCA,ANSE,ANRE,ANST,IVRO,BRCO,BRDA,MAAS,LOCA,BRGA,MAHI,BRLA,BAME,LONE,MAKÖ,NUSA,BRRO,LOPI,STCL,XASI,LOTO,MATU,MAZA,STMI","6"
"JIWE,RAPE,FR,TIHA,CHAL,WAZI,CHSA,CHWE,NIBR,LUDA,KABA,SISA,MIGO,MISA,JAHU,JAME,TOME,JAWA,JAWI,EDCO,DABO,EDSA,LIYA,FIBE,CRCA,ALTO,HAMU,PIPA,ANOL,ANSO,LOPE,BAYA","5"
"STSA,NEBO,STTU,ZHXU,GRDE,GRDO,RABR,GRCO,FOBA,GRHA,RAED,GAGU,RAGI,GAKI,GAJE,RALE,HUSH,HUVA,DIKO,RASA,DINA,DILO,RAST,DIRA,DISA,THFO,THHE,SEGO,SEES,EMBI,SEGU,THKE,HEKO,SEGÓ,SVMI,EMCA,SEJA,SEJO,LÉDU,SELE,DJDI,ARBO,LADE,EMRO,EMSA,EMRI,LAJA,ARLA,EMVI,ARMU,LALA,ARME,TIBO,AAMA,NO,PO,ARSA,SH,MUWA,SI,SO,TH,TIKL,ARVE,LAWE,CHBR,TITO,CHGA,MEAL,BECA,MEBE,CHGO,ENMI,MEGA,CHKE,CHLE,BEJA,CHMU,BEMA,CHPA,MEGÜ,CHRO,BERA,CHVI,BESC,FRAC,CHWO,BETA,FRBA,GUHA,BEWH,FRDE,FACA,RUGA,BEYI,FAFA,FRHO,FRMI,GURO,FRON,NIIO,NIHU,GUVA,FRVE,FASA,NINA,NIKÖ,NIOT,NIRE,NIVI,GECA,GEHO,GEMA,REPA,LUAM,LUAL,GERU,ADBU,ADBO,OMMA,KRAS,VABA,JOAD,JOAT,LUFR,JOCH,JOEG,LUKL,LUJO,JOGE,JOGI,LULE,KAGR,JOFL,ILCH,LULO,SIAR,SIAS,ADPE,JOKO,SIDI,LUSA,LUSI,JOOK,JOOS,KAPA,SIHA,KAPR,VARO,JOQU,JORE,KARA,ILMO,JOPU,JOMÁ,SIMI,VAVE,LEBE,LEBO,LEBU,LEHA,WEFO,LETH,ERBO,PABO,ERCA,PADA,PADR,DOBE,ERHO,CLBR,DOFR,ERLA,BIBA,MICR,MIDE,MIFR,DOLU,MIKE,PASA,MIME,MIMO,DOSC,MINA,MIPI,MISC,MIRE,FECH,MIVI,FEBR,RYFR,FEDI,XIZH,FEKA,FEME,ESSA,JAAM,TOBR,JAHI,GIBO,TOHE,TOGA,RICA,JAKR,RIFE,JANO,ETAM,JAPE,JAPR,TOMC,TOMO,JARE,JARI,ÁLGA,TOPO,JALÖ,URRA,JATO,TORI,GIME,VÍCA,TOSC,TOST,GIPO,AYBE,RIRI,ÁLMO,RISA,KEBR,VÍMO,KEDA,VÍRU,AHKA,KEMC,ZÉCA,KELE,EDBO,EDCA,KETA,DAAM,KEWI,ZABO,KEVO,ZAAL,DADI,NOBA,CODR,EDGO,EDKA,COFA,COGA,WIBO,DAME,YOKO,DAO',DANA,EDSE,LIKE,DATA,CORO,AZOU,YOSA,DAVA,COTO,PEME,PEMA,PERE,JUCR,PESA,JUDU,TAAN,TACH,JUKO,JUJE,JULO,JUNI,SOKI,JUPO,FIKO,TATE,FIME,ISBO,JEBU,FÁCA,JEDU,JEHE,IBDI,ISJA,JELO,JENG,JEMO,JERA,KYWA,IBSA,IBSI,CAAR,CRGU,MODE,YADE,MOFR,NAGI,BOGA,VIBE,CAKE,ALFE,YAKE,ALGI,ALGE,MOKA,VIBO,KICO,YAMO,CAO',KIGA,BOMA,VIJA,CARA,ALND,NATE,YAST,MOSE,MOSC,YASH,BOSO,CAVE,VIMI,MOTA,MOSY,ALRU,MOTO,ALRI,VIPA,GÖSA,ALTR,KISA,VISA,ALZE,DECH,DEDR,DEGE,PHKL,PHMA,DESE,DETH,SAAG,SAAR,HACO,SABO,ROCO,SADE,ROCA,ROES,SAGA,ROIN,FLHA,ROHO,ROLO,ROMO,HARE,ANAN,ANBL,SARO,HASO,HASY,HAVA,ANCI,ANDE,ANDA,ANFI,HAWO,ANLE,ANNO,ANPI,ANSC,IVPR,TEMO,BRBE,MAAD,BRAR,BRCR,MAD',BABI,MAAM,BRDU,MAEN,BRGO,LOBR,MAES,LODI,MAFL,BRJO,MAIL,YUMA,MAKR,MAJE,JIDU,MAOK,LOLU,STDI,SCCA,MALÓ,MAPU,BRVA,MAUG,LORO,BRWI,MASÁ,LOVE,MAZE,SCMC","4"
"STPO,JIXI,YECH,BRVADE,RABU,HUMA,GAGO,FOKO,RALU,DIDA,RARA,DIRI,THAN,DISI,SEBO,HEHE,THLU,SEKA,SEMC,THPE,SELA,EMKA,EMLO,CL,DE,LACO,WACH,KO,LI,TICO,TIBR,PI,QU,TILI,TIKA,TIKR,ENCO,TIRO,BEAN,CHDI,BECO,CHHE,ABCO,CHJU,ABDI,BEHO,BEKL,BEMI,CHRA,CHWI,GUCO,GUHE,FRGU,OLBA,NIBO,FAME,NIFR,FRSI,NIJO,FASE,NIMI,FRZA,NIPO,NITH,SHHU,SIVADE,OMAL,REMA,LUCE,LUD',LUBI,RESA,LUDI,GEWI,JOAS,LUFA,LUFI,LUKR,LUJA,JODE,ADKA,LUJU,VAGE,JOFI,ADMO,LURE,LUTH,ADTA,JORI,KARE,SIRA,LEJA,LELE,LELI,LEKO,LEME,LEPI,PAAR,WEZH,PAHA,MIAR,ERKR,PAKO,MIFO,PAPE,MIHE,XILI,PAWA,ERZE,RYCH,MIST,FEBO,FEHE,JÉBO,FEJU,FEVI,GIBU,GIAL,GIDE,GICI,TOKA,JAQU,TOMÜ,GILA,TOSP,RIPA,AYBA,GIVI,KEGO,KEMA,EDDU,COBR,KEVA,DACI,DACH,EDME,WIBR,EDMO,WIDO,EDPI,COPA,WIKA,DATR,WIMA,ZAST,DAVO,YOTA,NOWA,PEAM,PECA,PEGO,JUBU,JUDI,SOBO,JUKR,TAFO,JUMI,JUMU,SOHA,FIFA,JUST,JUWE,FIMI,FITO,JECO,ISBA,IBBA,JEMU,OUCA,ISSO,NABR,YAAY,CADU,MODO,CRGA,ALCH,ALDI,MOFA,ALEL,MOHE,CAJO,MOHA,ALJO,CRPA,ALKE,ALLO,ALLE,ALN',CASI,CATE,ALPR,ALRA,YAYU,YAXU,DECI,AMBE,SÉCO,ROAR,HADO,GOES,ROGO,FLDI,HALE,SAMU,GOMO,FLMI,SASC,ROST,ROVA,ROVI,SAWA,HAYU,PISA,ANMU,TOVADE,ANPU,ANPR,ANZA,IVRA,MAAC,BRDE,LOAN,MACL,BADE,LOBE,LODO,MAKL,MAKU,BRME,MAOB,LOPA,JIJI,MASU,MATI,LOSC,DYCH,MAWÖ,MAZU","3"
"JOST,JAST,MAFR,MAFE","72"
"STSH,STSC,STST,NEGU,CEHA,ZHLU,CEKA,DYTE,NERA,HUBU,CESE,HUGU,RABO,ZHYA,RÚRI,RACH,RACO,RAFA,IGMI,GAGI,ELAN,GAFE,ELDI,SUMA,DIAR,GAIN,HULA,HULI,RAGH,HUOL,DIBA,ZIAL,RALI,DIGI,HUSO,DIGU,GAOR,RAMI,ELJA,DIGA,RAPA,RAPR,GAPI,GRRA,RAKÖ,RASC,DIJO,DIKA,HUZH,DIND,DILL,ELRO,DIPE,DIPI,ELRE,DIPR,DIRU,TYBR,THAL,SVBO,SEAN,SEAK,THDI,THBR,TYDO,SEBU,SEAU,SEAS,SEDU,SEDR,SEDE,THJA,SEGR,THLE,EMBE,EMBU,EMAK,TYMA,THKO,SEKL,EMFO,SEMU,HEMA,EMHA,SEOR,THRO,TYRO,EMGY,MUBA,THSA,SEPA,SEPI,THSO,MUDA,SESE,ARAL,SESC,HETA,LÉLE,EMKI,SERA,HESA,EMKO,ARBA,SERU,THVA,AZ,ARCO,BO,SEVA,LABL,ARBR,THWI,ARDO,SETE,ARDE,ARDA,MUES,AABO,LAAB,DJ,DO,VOBA,WABA,EV,SEWA,FL,MUKA,CÉ,ARHE,HA,AAHE,LAHE,IA,MUMA,EMSO,SAÖZ,JE,DJSO,ARKO,ARKI,ARKA,ARLU,KOHA,HÉ,TIDA,ME,AALO,MUPA,TIES,AROR,OT,RE,RU,LARI,ARSO,ARSC,TE,ARTE,MUYI,LASA,TIKE,VA,ENDE,TIME,ENCL,ARZA,ENFE,TIPE,ENEB,TIOB,CHAN,CHAD,WAZA,CHBU,CHBO,CHCR,CHCO,TISA,CHDA,MECH,BECR,MEBA,CHFA,CHGU,ABAD,BEES,CHKA,ABDU,TIYU,CHLA,ENRO,CHME,BEKE,CHOG,CHOF,BEKU,BEKI,CHPI,ABJA,MEMA,MEMI,ABKH,ABKE,ENVA,CHPU,BEPI,CHSH,BEPE,BEPA,BEKÜ,ABND,MESA,RUCO,BETE,MERO,GUCH,ABRO,FAAN,BETR,META,BEVO,ABSI,FRBE,CHYA,BEWO,FACO,YUÖZ,ABTA,BEWA,FABO,FABU,FRGA,FRFE,FRFR,UMSA,FAGO,FAGR,GULI,OLBO,FRIS,FAHE,FAGE,FRKA,FAHO,OLCH,RUMA,OLDE,FAKU,NIDE,NIDA,FRNA,RUPE,FALO,FRLA,FRLE,NIBU,FRLO,FAKL,GUSA,GUTI,FAPE,FRPO,RUSO,FRSO,OLMO,FARU,FRRU,FAQU,NILI,NINE,NIHÖ,NIME,FRWA,OLPO,NIOR,NIOL,MADERO,NIRI,OLWA,SHCH,NISH,NISI,GEBO,NIVE,REBE,GEAC,NIWI,SHFE,SHFL,MADELI,IKMU,REJA,SHMO,RELO,SHOU,GEKO,GELE,REKH,IKUG,IKUN,SHSA,LUAC,SHSH,LUAU,RERI,ADAL,LUBL,SHWE,KRBI,KAAD,GETR,GETU,LUGI,KACA,KÉMO,ADFO,SHYA,LUBÖ,VACA,LUHI,KADA,LUDÍ,VACO,LUKE,VAFE,ADJA,LUKI,JOEZ,KAFI,KÉRO,ADLE,ADMI,ADME,SIBR,SIBO,SIBU,KAKE,KRMA,JOHI,LUNO,HIBO,KAJO,JOKL,VALA,JOKR,JOGÓ,SIEL,KAKU,JOJI,JOFÉ,KALU,KAON,SIGI,JONE,LUSH,KRPE,LUVA,ILME,LUPÉ,SIHE,JOOB,KASC,LUWA,JOSW,JOTA,LUVÁ,LUZI,SIMO,ONBA,KAWA,MIDELA,MYBO,SAVADE,SIPO,JOWH,SISI,JOZA,SISO,JOZI,SIRO,VAZA,SITE,THVADE,LEDA,LEDE,SIVE,LECH,LEFL,LEDO,LEDU,LEGO,LEGI,LERO,ERBE,LESE,ERDA,ERDU,PACU,DOCO,PABR,LEWE,ERHA,LEZE,PAFA,ERGA,DODE,PAER,MIAD,JOANCA,PAGR,PAGU,MIBI,BIBR,PAJO,DOHA,DOHE,AWAL,PALA,MIDI,PAGÖ,PALI,PALE,MIEB,MICU,PAKL,PAGÓ,CLIR,CLKA,MIFE,PAPF,MIHU,PALÓ,PAKÖ,MIJO,PARU,MIKI,DOPI,ERTA,DOSO,MIMI,PASI,PASE,MILA,MILO,MIOL,MIMU,MIPU,RYAL,MIPO,MIRA,FEAG,MITI,MIWE,RYHO,MIZA,FEGA,RYME,FEGÖ,FELO,AÏMA,AXDI,RYSA,FERI,FESI,RYWI,JÉME,JADI,JABY,TOAD,TOCI,JAFA,AGMA,JAGU,TODU,JAJO,TOIN,TOJA,JAJU,GICH,JAKI,GIFE,ETBA,ÁLCO,TOKE,TONA,RIHE,RIHA,JALÓ,RIFO,GIGO,ÁLBL,ETCA,JAON,JAOO,RIGA,JAOR,ETFI,ÁLGI,JATR,GIKO,RINO,TOSA,ÁLLE,RIPU,VÍGO,GIRA,ÁLPE,GIRI,RITA,ÁLMU,KECA,KEAN,KEAM,GIVO,KEBE,KEEH,RISÁ,KECO,AYKA,AYLA,KEFE,KEFI,AHGÜ,KEKO,KEMI,VEKA,KELO,KENA,EDCE,KETE,DAAY,DAAN,DAAG,DACE,ZABA,NOAT,DABL,ZAAB,KEVE,EDES,EDFE,DAFA,YOBE,NOBU,DAES,DAGH,DACÁ,EDJO,NOFA,DAFI,NODO,DAGR,DAIG,ÉDBA,DAKL,LICO,LICU,NOJA,LIBR,DAKY,DAGÓ,WIBA,DAKR,NOLA,NOKA,NONA,YOMO,COMI,YOLA,NOMB,NOMI,DAOS,ORRO,DALÓ,YOND,EDTA,WIHU,LILA,DARU,DATO,DATI,AIMO,NOSA,LIMC,LIME,YOTO,LIRO,DAYA,MIVABE,DAZU,NOWE,WISM,WISA,WIRI,PEBI,EVBU,WITR,OSBU,PEBO,PEGA,OSKA,PEMO,PEMI,PEMU,JUBR,ÓSME,PEST,JUGU,TAAB,PEXI,SOBI,SOBE,JUKU,FIAR,TAGA,JUPA,FIBA,ÓSRO,TRMU,JUPE,JUPL,TAKU,JUSO,TRPA,SOMA,JUTA,TAMA,TAMI,JUSC,JUTI,TASC,TATO,TAWA,SOTR,FIPO,FITE,FISC,JEDE,ISDA,ISDI,JEFE,JEDO,JEGO,JEGR,KYKA,JEHO,KYME,KYMC,JELI,JEJO,ISLI,ISMA,ISKO,KYSM,JERU,IBNI,OUDE,CRAN,JEST,JEVE,NABE,ISSI,ISSU,CABU,ISSY,CRDA,NAAM,YACA,CACL,NABU,NABO,YABI,JEWA,NACO,NACI,CAFE,NAES,ALAN,BODI,ALAD,ALAB,NAFO,YADI,CAGA,ALBL,ALCR,ALCL,YAGA,GÖBA,YAGE,CAGR,CAGI,MOEL,ALEK,YAHA,ALFO,YAHE,VIAG,MOGU,VIAB,YALA,MOKE,VICA,MOJA,KIFI,ALIW,NANG,YAME,CANE,ALIS,YAMI,VIFI,CAMO,YAMA,NAPA,KIHO,VIGU,ALKR,CAOS,OUTA,ALLI,MONI,MOND,NARE,CRST,VIJO,YARA,CASO,YASU,BOSA,ALOR,MORO,VIKO,ALRE,NAVI,BOTR,YAVE,CAWO,MOTH,ALTE,ALTA,ALSI,NAWE,VIOS,ALVE,MOYO,YAZH,KITA,MOZE,VISE,DEBU,ALZA,ZEDE,ZECH,DEFR,DEHE,DEHA,DEGR,DEHU,DEJA,AMBA,DEKE,AMCO,HÉBE,PHKÖ,PHPE,HÉHE,DEPE,DEPA,TUAL,DEPR,PHSA,DERE,PHST,SÉMA,HAAS,SAAM,ROAN,GOBO,HADA,HABI,SABR,HACH,ZEYA,FLAY,ROBO,ROCE,AMRI,ROEL,FLCA,SAGH,SAGO,HAHE,RODI,SAFE,SAFO,FLDA,ROFI,ROGA,TUME,PICO,HAKE,SAJU,SAME,ROLA,SALU,FLKL,RONE,PIFR,ROLU,ROMC,GOPI,FLMO,HARO,SARA,SAPE,GOPA,ROOL,HATA,ROMÜ,ANAH,RORI,HATO,HATR,FLNI,ANCH,ANCE,PIMA,ANDI,FLSO,ROVO,HAXU,ANFU,ANFR,HAWR,FLSC,GOVI,SASÁ,ANGE,ROSÁ,ROZA,ANJO,IVAL,ANJA,ANKN,ANKI,TEBO,IVCH,TEAL,IVFR,ANOU,PIZI,ANON,JHLU,ANVE,IVMO,TEKO,ANVO,IVPA,ANZU,YUAK,YUBA,BRBO,TETE,MAAI,YUCH,BRCH,BAAT,LOAS,BABE,YUER,MAED,MAEG,LOBU,MABÜ,BRHI,YUKA,LODE,BAGU,MAIN,BRKA,BRLO,BAGÜ,BAGÖ,BAKU,MAJU,MAN',LOLA,MAGÖ,MAGÓ,BANI,BROS,MALL,BAMO,MAJÚ,STBI,BRPO,YUSU,BRPA,LOLI,BAPE,STAM,MANI,STDE,LOOP,BRRE,BRST,BARA,BRSO,BRSC,MASM,MASV,JILI,MAUR,LOTA,MATC,JIPA,SCHO,STLO,MAYO,STKU,STKR,LOWA,STLE,STNS","2"
"GAMA,JOWI,MATH","70"
